SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE
EMP_TEMP_SEX_AGE_NB,USA,2020,145000000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,USA,2021,147500000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,USA,2022,150200000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,GBR,2020,32500000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,GBR,2021,32800000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,GBR,2022,33100000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,DEU,2020,41200000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,DEU,2021,41500000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,DEU,2022,41800000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,JPN,2020,66500000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,JPN,2021,66800000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,JPN,2022,67100000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,FRA,2020,27100000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,FRA,2021,27400000,NUMBER,TOTAL,Y_GE15
EMP_TEMP_SEX_AGE_NB,FRA,2022,27700000,NUMBER,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,USA,2020,8.1,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,USA,2021,5.4,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,USA,2022,3.6,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,GBR,2020,4.5,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,GBR,2021,4.6,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,GBR,2022,3.7,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,DEU,2020,3.8,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,DEU,2021,3.6,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,DEU,2022,3.1,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,JPN,2020,2.8,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,JPN,2021,2.8,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,JPN,2022,2.6,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,FRA,2020,8.0,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,FRA,2021,7.9,PERCENT,TOTAL,Y_GE15
UNE_DEAP_SEX_AGE_RT,FRA,2022,7.3,PERCENT,TOTAL,Y_GE15

