SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE
CHILD_MORTALITY_U5,IND,2019,34.3,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,IND,2020,33.1,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,IND,2021,31.8,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,IND,2022,30.5,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,NGA,2019,117.2,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,NGA,2020,114.3,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,NGA,2021,111.4,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,NGA,2022,108.5,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,PAK,2019,65.2,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,PAK,2020,62.9,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,PAK,2021,60.7,PER_1000_BIRTHS,TOTAL,Y0T4
CHILD_MORTALITY_U5,PAK,2022,58.5,PER_1000_BIRTHS,TOTAL,Y0T4
IMMUNIZATION_DTP3,IND,2019,91.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,IND,2020,85.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,IND,2021,93.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,IND,2022,93.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,NGA,2019,57.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,NGA,2020,54.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,NGA,2021,57.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,NGA,2022,59.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,PAK,2019,75.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,PAK,2020,75.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,PAK,2021,82.0,PERCENT,TOTAL,Y0T1
IMMUNIZATION_DTP3,PAK,2022,83.0,PERCENT,TOTAL,Y0T1

