SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/AFG,2019,550.34053
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/AFG,2019,508.61916
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/AFG,2019,464.60416
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/AGO,2019,528.61753
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/AGO,2019,729.74445
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/AGO,2019,628.12009
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/ALB,2019,10.79092
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/ALB,2019,13.11693
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/ALB,2019,8.37829
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/ARE,2019,6.03044
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/ARE,2019,7.26606
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/ARE,2019,10.04967
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/ARG,2019,5.86158
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/ARG,2019,7.00715
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/ARG,2019,8.21031
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/ARM,2019,32.65479
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/ARM,2019,50.77364
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/ARM,2019,41.17762
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/ATG,2019,4.77712
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/ATG,2019,5.38736
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/ATG,2019,6.04206
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/AUS,2019,0.72083
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/AUS,2019,0.65062
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/AUS,2019,0.7916
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/AUT,2019,0.33943
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/AUT,2019,0.41918
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/AUT,2019,0.50141
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/AZE,2019,89.84737
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/AZE,2019,77.51938
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/AZE,2019,65.23071
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BDI,2019,564.22034
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BDI,2019,412.74753
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BDI,2019,487.8757
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BEL,2019,0.72252
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BEL,2019,0.55878
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BEL,2019,0.39831
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BEN,2019,797.3783
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BEN,2019,685.2207
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BEN,2019,573.41682
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BFA,2019,777.96814
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BFA,2019,906.93597
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BFA,2019,649.32781
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BGD,2019,128.16428
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BGD,2019,141.06672
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BGD,2019,114.95736
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BGR,2019,11.04132
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BGR,2019,7.95013
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BGR,2019,9.45157
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BHR,2019,3.45686
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BHR,2019,1.90401
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BHR,2019,2.45883
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BHS,2019,7.10187
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BHS,2019,5.24277
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BHS,2019,6.14601
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BIH,2019,4.46661
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BIH,2019,5.14417
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BIH,2019,3.81617
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BLR,2019,1.80958
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BLR,2019,2.23509
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BLR,2019,2.72371
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BLZ,2019,7.69036
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BLZ,2019,6.82383
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BLZ,2019,8.56487
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BOL,2019,106.92591
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BOL,2019,82.79791
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BOL,2019,94.91023
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BRA,2019,14.47428
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BRA,2019,12.37824
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BRA,2019,10.35218
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BRB,2019,2.52187
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BRB,2019,2.82483
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BRB,2019,3.1483
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BRN,2019,1.96342
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BRN,2019,2.07731
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BRN,2019,2.18277
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BTN,2019,118.71832
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BTN,2019,111.30442
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BTN,2019,102.91796
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/BWA,2019,122.5593
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/BWA,2019,141.03192
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/BWA,2019,105.25864
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/CAF,2019,614.516
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/CAF,2019,965.01006
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/CAF,2019,788.24023
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/CAN,2019,0.30503
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/CAN,2019,0.27273
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/CAN,2019,0.24091
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/CHE,2019,0.3963
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/CHE,2019,0.43733
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/CHE,2019,0.35594
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/CHL,2019,3.02942
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/CHL,2019,2.33887
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/CHL,2019,2.67925
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/CHN,2019,28.66494
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/CHN,2019,31.27764
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/CHN,2019,25.91203
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039,dcid:country/CIV,2019,810.71656
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--M,dcid:country/CIV,2019,929.96247
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/CIV,2019,689.30088
dcs:who/AIR_10.ENVCAUSE--ENVCAUSE039__SEX--F,dcid:country/CMR,2019,649.61385
