SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST01,dcid:SouthEasternAsia,2018,4.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST02,dcid:SouthEasternAsia,2018,4.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST03,dcid:africa,2018,1.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST02,dcid:africa,2018,4.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST01,dcid:africa,2018,9.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST01,dcid:europe,2018,8.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST03,dcid:europe,2018,1.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST02,dcid:europe,2018,13.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST01,dcid:undata-geo/G00121000,2018,2.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST02,dcid:undata-geo/G00121000,2018,11.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST03,dcid:undata-geo/G00121000,2018,1.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST01,dcid:undata-geo/G00134000,2018,2.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST02,dcid:undata-geo/G00134000,2018,1.0
dcs:who/AMRGLASS_COORD01.AMRGLASSCATEGORY--AMRGLASS_DOESITEXIST01,dcid:undata-geo/G00160000,2018,6.0
