SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_UNKNOWN,dcid:SouthEasternAsia,2018,2.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS06,dcid:SouthEasternAsia,2018,6.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_UNKNOWN,dcid:africa,2018,6.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS07,dcid:africa,2018,1.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS06,dcid:africa,2018,7.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS06,dcid:europe,2018,15.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_UNKNOWN,dcid:europe,2018,7.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS06,dcid:undata-geo/G00121000,2018,10.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_UNKNOWN,dcid:undata-geo/G00121000,2018,4.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_UNKNOWN,dcid:undata-geo/G00134000,2018,3.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_PROVIDEDTOLABS06,dcid:undata-geo/G00160000,2018,5.0
dcs:who/AMRGLASS_QA02.AMRGLASSCATEGORY--AMRGLASS_UNKNOWN,dcid:undata-geo/G00160000,2018,1.0
