SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/AMR_INFECT_ECOLI,dcid:AustraliaAndNewZealand,2019,13.29
dcs:who/AMR_INFECT_ECOLI,dcid:Earth,2021,41.0
dcs:who/AMR_INFECT_ECOLI,dcid:Earth,2018,36.0
dcs:who/AMR_INFECT_ECOLI,dcid:Earth,2020,41.8
dcs:who/AMR_INFECT_ECOLI,dcid:Earth,2019,36.6
dcs:who/AMR_INFECT_ECOLI,dcid:Earth,2016,35.8
dcs:who/AMR_INFECT_ECOLI,dcid:Earth,2017,32.4
dcs:who/AMR_INFECT_ECOLI,dcid:EasternAfrica,2019,40.54
dcs:who/AMR_INFECT_ECOLI,dcid:EasternAsia,2019,29.02
dcs:who/AMR_INFECT_ECOLI,dcid:EasternAsia,2018,38.6
dcs:who/AMR_INFECT_ECOLI,dcid:EasternAsia,2016,15.3
dcs:who/AMR_INFECT_ECOLI,dcid:EasternAsia,2017,26.0
dcs:who/AMR_INFECT_ECOLI,dcid:EasternEurope,2019,16.42
dcs:who/AMR_INFECT_ECOLI,dcid:LatinAmericaAndCaribbean,2019,23.36
dcs:who/AMR_INFECT_ECOLI,dcid:LatinAmericaAndCaribbean,2018,17.1
dcs:who/AMR_INFECT_ECOLI,dcid:LatinAmericaAndCaribbean,2017,20.0
dcs:who/AMR_INFECT_ECOLI,dcid:NorthernAfrica,2019,58.33
dcs:who/AMR_INFECT_ECOLI,dcid:NorthernAfrica,2018,66.7
dcs:who/AMR_INFECT_ECOLI,dcid:NorthernAfrica,2017,35.9
dcs:who/AMR_INFECT_ECOLI,dcid:NorthernAfrica,2016,25.5
dcs:who/AMR_INFECT_ECOLI,dcid:NorthernEurope,2019,11.27
dcs:who/AMR_INFECT_ECOLI,dcid:SouthEasternAsia,2019,46.08
dcs:who/AMR_INFECT_ECOLI,dcid:SouthEasternAsia,2018,58.8
dcs:who/AMR_INFECT_ECOLI,dcid:SouthEasternAsia,2016,39.2
dcs:who/AMR_INFECT_ECOLI,dcid:SouthEasternAsia,2017,40.6
dcs:who/AMR_INFECT_ECOLI,dcid:SouthernAfrica,2019,30.74
dcs:who/AMR_INFECT_ECOLI,dcid:SouthernAsia,2019,39.93
dcs:who/AMR_INFECT_ECOLI,dcid:SouthernAsia,2018,65.3
dcs:who/AMR_INFECT_ECOLI,dcid:SouthernAsia,2017,76.2
