SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/AMR_INFECT_MRSA,dcid:AustraliaAndNewZealand,2019,18.5
dcs:who/AMR_INFECT_MRSA,dcid:AustraliaAndNewZealand,2018,28.6
dcs:who/AMR_INFECT_MRSA,dcid:Earth,2021,32.1
dcs:who/AMR_INFECT_MRSA,dcid:Earth,2018,23.1
dcs:who/AMR_INFECT_MRSA,dcid:Earth,2020,34.7
dcs:who/AMR_INFECT_MRSA,dcid:Earth,2017,19.7
dcs:who/AMR_INFECT_MRSA,dcid:Earth,2019,24.9
dcs:who/AMR_INFECT_MRSA,dcid:Earth,2016,20.6
dcs:who/AMR_INFECT_MRSA,dcid:EasternAfrica,2019,10.34
dcs:who/AMR_INFECT_MRSA,dcid:EasternAsia,2019,42.51
dcs:who/AMR_INFECT_MRSA,dcid:EasternAsia,2018,36.0
dcs:who/AMR_INFECT_MRSA,dcid:EasternAsia,2017,45.0
dcs:who/AMR_INFECT_MRSA,dcid:EasternEurope,2019,14.94
dcs:who/AMR_INFECT_MRSA,dcid:LatinAmericaAndCaribbean,2019,31.29
dcs:who/AMR_INFECT_MRSA,dcid:LatinAmericaAndCaribbean,2018,41.4
dcs:who/AMR_INFECT_MRSA,dcid:LatinAmericaAndCaribbean,2017,45.0
dcs:who/AMR_INFECT_MRSA,dcid:NorthernAfrica,2019,32.91
dcs:who/AMR_INFECT_MRSA,dcid:NorthernAfrica,2018,52.2
dcs:who/AMR_INFECT_MRSA,dcid:NorthernAfrica,2017,21.6
dcs:who/AMR_INFECT_MRSA,dcid:NorthernEurope,2019,7.88
dcs:who/AMR_INFECT_MRSA,dcid:SouthEasternAsia,2019,24.09
dcs:who/AMR_INFECT_MRSA,dcid:SouthEasternAsia,2018,28.6
dcs:who/AMR_INFECT_MRSA,dcid:SouthEasternAsia,2017,31.5
dcs:who/AMR_INFECT_MRSA,dcid:SouthernAfrica,2019,21.35
dcs:who/AMR_INFECT_MRSA,dcid:SouthernAsia,2019,55.99
dcs:who/AMR_INFECT_MRSA,dcid:SouthernAsia,2018,33.5
dcs:who/AMR_INFECT_MRSA,dcid:SouthernAsia,2017,62.7
dcs:who/AMR_INFECT_MRSA,dcid:SouthernEurope,2019,31.08
dcs:who/AMR_INFECT_MRSA,dcid:SubSaharanAfrica,2019,10.34
dcs:who/AMR_INFECT_MRSA,dcid:SubSaharanAfrica,2018,20.0
dcs:who/AMR_INFECT_MRSA,dcid:SubSaharanAfrica,2017,18.1
dcs:who/AMR_INFECT_MRSA,dcid:WesternAfrica,2019,2.5
dcs:who/AMR_INFECT_MRSA,dcid:WesternAsia,2019,40.0
dcs:who/AMR_INFECT_MRSA,dcid:WesternAsia,2018,35.5
dcs:who/AMR_INFECT_MRSA,dcid:WesternAsia,2017,33.1
dcs:who/AMR_INFECT_MRSA,dcid:WesternEurope,2019,5.74
dcs:who/AMR_INFECT_MRSA,dcid:africa,2019,17.44
dcs:who/AMR_INFECT_MRSA,dcid:asia,2019,39.46
dcs:who/AMR_INFECT_MRSA,dcid:country/ARE,2021,35.65
dcs:who/AMR_INFECT_MRSA,dcid:country/ARE,2020,42.52
dcs:who/AMR_INFECT_MRSA,dcid:country/ARE,2019,36.23
dcs:who/AMR_INFECT_MRSA,dcid:country/ARE,2018,23.7
dcs:who/AMR_INFECT_MRSA,dcid:country/ARE,2017,34.1
dcs:who/AMR_INFECT_MRSA,dcid:country/ARG,2021,34.33
dcs:who/AMR_INFECT_MRSA,dcid:country/ARG,2020,38.4
dcs:who/AMR_INFECT_MRSA,dcid:country/ARG,2019,42.03
dcs:who/AMR_INFECT_MRSA,dcid:country/ARG,2017,45.0
dcs:who/AMR_INFECT_MRSA,dcid:country/ARG,2018,42.5
dcs:who/AMR_INFECT_MRSA,dcid:country/AUS,2021,16.91
dcs:who/AMR_INFECT_MRSA,dcid:country/AUS,2020,17.65
dcs:who/AMR_INFECT_MRSA,dcid:country/AUS,2019,18.47
dcs:who/AMR_INFECT_MRSA,dcid:country/AUT,2021,3.12
dcs:who/AMR_INFECT_MRSA,dcid:country/AUT,2020,4.47
dcs:who/AMR_INFECT_MRSA,dcid:country/AUT,2019,5.26
dcs:who/AMR_INFECT_MRSA,dcid:country/AUT,2017,5.9
dcs:who/AMR_INFECT_MRSA,dcid:country/AUT,2018,6.4
dcs:who/AMR_INFECT_MRSA,dcid:country/BEL,2021,4.2
dcs:who/AMR_INFECT_MRSA,dcid:country/BEL,2020,6.79
dcs:who/AMR_INFECT_MRSA,dcid:country/BFA,2021,51.16
dcs:who/AMR_INFECT_MRSA,dcid:country/BFA,2020,68.75
dcs:who/AMR_INFECT_MRSA,dcid:country/BHR,2020,34.39
dcs:who/AMR_INFECT_MRSA,dcid:country/BHR,2019,40.0
dcs:who/AMR_INFECT_MRSA,dcid:country/BHR,2018,35.5
dcs:who/AMR_INFECT_MRSA,dcid:country/BIH,2021,20.83
dcs:who/AMR_INFECT_MRSA,dcid:country/BIH,2020,23.21
dcs:who/AMR_INFECT_MRSA,dcid:country/BIH,2019,10.55
dcs:who/AMR_INFECT_MRSA,dcid:country/BIH,2017,25.8
dcs:who/AMR_INFECT_MRSA,dcid:country/BIH,2018,16.3
dcs:who/AMR_INFECT_MRSA,dcid:country/BIH,2016,18.0
dcs:who/AMR_INFECT_MRSA,dcid:country/BRA,2021,7.0
dcs:who/AMR_INFECT_MRSA,dcid:country/BRA,2019,20.56
dcs:who/AMR_INFECT_MRSA,dcid:country/BRA,2018,11.1
dcs:who/AMR_INFECT_MRSA,dcid:country/BRN,2021,14.62
dcs:who/AMR_INFECT_MRSA,dcid:country/BRN,2020,12.47
dcs:who/AMR_INFECT_MRSA,dcid:country/BRN,2019,12.3
dcs:who/AMR_INFECT_MRSA,dcid:country/BTN,2020,11.67
dcs:who/AMR_INFECT_MRSA,dcid:country/BTN,2019,20.79
dcs:who/AMR_INFECT_MRSA,dcid:country/CHE,2021,4.34
dcs:who/AMR_INFECT_MRSA,dcid:country/CHE,2020,5.12
dcs:who/AMR_INFECT_MRSA,dcid:country/CHE,2019,3.91
dcs:who/AMR_INFECT_MRSA,dcid:country/CHE,2018,5.8
dcs:who/AMR_INFECT_MRSA,dcid:country/CHE,2017,4.7
dcs:who/AMR_INFECT_MRSA,dcid:country/CHE,2016,4.9
dcs:who/AMR_INFECT_MRSA,dcid:country/CIV,2020,71.53
dcs:who/AMR_INFECT_MRSA,dcid:country/CMR,2021,45.45
dcs:who/AMR_INFECT_MRSA,dcid:country/COD,2021,100.0
dcs:who/AMR_INFECT_MRSA,dcid:country/COL,2021,45.24
dcs:who/AMR_INFECT_MRSA,dcid:country/CYP,2021,42.94
dcs:who/AMR_INFECT_MRSA,dcid:country/CYP,2020,49.52
dcs:who/AMR_INFECT_MRSA,dcid:country/CYP,2019,100.0
dcs:who/AMR_INFECT_MRSA,dcid:country/CYP,2018,40.2
dcs:who/AMR_INFECT_MRSA,dcid:country/CYP,2017,31.2
dcs:who/AMR_INFECT_MRSA,dcid:country/CZE,2021,9.43
dcs:who/AMR_INFECT_MRSA,dcid:country/CZE,2020,9.33
dcs:who/AMR_INFECT_MRSA,dcid:country/CZE,2019,12.52
dcs:who/AMR_INFECT_MRSA,dcid:country/CZE,2018,13.6
dcs:who/AMR_INFECT_MRSA,dcid:country/CZE,2017,13.2
dcs:who/AMR_INFECT_MRSA,dcid:country/DEU,2021,4.91
dcs:who/AMR_INFECT_MRSA,dcid:country/DEU,2020,5.58
dcs:who/AMR_INFECT_MRSA,dcid:country/DEU,2019,6.8
dcs:who/AMR_INFECT_MRSA,dcid:country/DEU,2018,7.6
dcs:who/AMR_INFECT_MRSA,dcid:country/DEU,2017,9.1
dcs:who/AMR_INFECT_MRSA,dcid:country/DEU,2016,10.3
dcs:who/AMR_INFECT_MRSA,dcid:country/DJI,2020,0.0
dcs:who/AMR_INFECT_MRSA,dcid:country/DNK,2021,1.55
dcs:who/AMR_INFECT_MRSA,dcid:country/DNK,2020,1.94
dcs:who/AMR_INFECT_MRSA,dcid:country/EGY,2021,92.31
dcs:who/AMR_INFECT_MRSA,dcid:country/EGY,2020,100.0
dcs:who/AMR_INFECT_MRSA,dcid:country/EGY,2019,79.59
dcs:who/AMR_INFECT_MRSA,dcid:country/EGY,2018,70.4
dcs:who/AMR_INFECT_MRSA,dcid:country/EST,2021,2.27
dcs:who/AMR_INFECT_MRSA,dcid:country/ETH,2021,59.23
dcs:who/AMR_INFECT_MRSA,dcid:country/ETH,2020,39.29
dcs:who/AMR_INFECT_MRSA,dcid:country/FIN,2021,2.31
dcs:who/AMR_INFECT_MRSA,dcid:country/FIN,2020,1.19
dcs:who/AMR_INFECT_MRSA,dcid:country/FIN,2019,2.07
dcs:who/AMR_INFECT_MRSA,dcid:country/FIN,2018,2.0
dcs:who/AMR_INFECT_MRSA,dcid:country/FIN,2017,1.9
dcs:who/AMR_INFECT_MRSA,dcid:country/FIN,2016,2.2
dcs:who/AMR_INFECT_MRSA,dcid:country/FRA,2021,11.0
dcs:who/AMR_INFECT_MRSA,dcid:country/FRA,2020,12.08
dcs:who/AMR_INFECT_MRSA,dcid:country/FRA,2019,12.52
dcs:who/AMR_INFECT_MRSA,dcid:country/FRA,2018,12.1
dcs:who/AMR_INFECT_MRSA,dcid:country/FRA,2017,12.9
dcs:who/AMR_INFECT_MRSA,dcid:country/GBR,2021,6.74
dcs:who/AMR_INFECT_MRSA,dcid:country/GBR,2020,3.89
dcs:who/AMR_INFECT_MRSA,dcid:country/GBR,2019,10.4
dcs:who/AMR_INFECT_MRSA,dcid:country/GBR,2018,7.3
dcs:who/AMR_INFECT_MRSA,dcid:country/GBR,2017,6.9
dcs:who/AMR_INFECT_MRSA,dcid:country/GEO,2021,25.32
dcs:who/AMR_INFECT_MRSA,dcid:country/GEO,2020,20.14
dcs:who/AMR_INFECT_MRSA,dcid:country/GEO,2019,12.52
dcs:who/AMR_INFECT_MRSA,dcid:country/GEO,2018,11.6
dcs:who/AMR_INFECT_MRSA,dcid:country/GEO,2017,4.2
dcs:who/AMR_INFECT_MRSA,dcid:country/GHA,2021,45.45
dcs:who/AMR_INFECT_MRSA,dcid:country/GRC,2021,43.18
dcs:who/AMR_INFECT_MRSA,dcid:country/GRC,2020,41.16
dcs:who/AMR_INFECT_MRSA,dcid:country/GRC,2019,43.41
dcs:who/AMR_INFECT_MRSA,dcid:country/GRC,2018,36.4
dcs:who/AMR_INFECT_MRSA,dcid:country/GRC,2017,38.4
dcs:who/AMR_INFECT_MRSA,dcid:country/HRV,2021,66.67
dcs:who/AMR_INFECT_MRSA,dcid:country/HRV,2020,50.0
dcs:who/AMR_INFECT_MRSA,dcid:country/HRV,2019,24.86
dcs:who/AMR_INFECT_MRSA,dcid:country/HRV,2018,26.4
