SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/ARE,2018,0.4
dcs:who/Adult_curr_e-cig,dcid:country/ARE,2018,0.6
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/ARE,2018,0.8
dcs:who/Adult_curr_e-cig,dcid:country/ARG,2018,1.1
dcs:who/Adult_curr_e-cig,dcid:country/AUS,2019,2.5
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/AUT,2020,4.5
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/AUT,2020,2.2
dcs:who/Adult_curr_e-cig,dcid:country/AUT,2020,3.4
dcs:who/Adult_curr_e-cig,dcid:country/BEL,2021,10.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/BEL,2021,8.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/BEL,2021,12.0
dcs:who/Adult_curr_e-cig,dcid:country/BGR,2020,1.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/BHS,2019,2.5
dcs:who/Adult_curr_e-cig,dcid:country/BHS,2019,1.5
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/BHS,2019,0.5
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/BLR,2020,9.8
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/BLR,2020,2.3
dcs:who/Adult_curr_e-cig,dcid:country/BLR,2020,6.1
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/BOL,2019,1.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/BOL,2019,0.5
dcs:who/Adult_curr_e-cig,dcid:country/BOL,2019,0.7
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/BRN,2016,29.5
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/BRN,2016,4.3
dcs:who/Adult_curr_e-cig,dcid:country/BRN,2016,16.7
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/CAN,2021,4.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/CAN,2021,6.0
dcs:who/Adult_curr_e-cig,dcid:country/CAN,2021,5.0
dcs:who/Adult_curr_e-cig,dcid:country/CHE,2022,3.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/CHE,2022,2.6
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/CHE,2022,3.4
dcs:who/Adult_curr_e-cig,dcid:country/CHL,2022,1.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/CHL,2022,0.5
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/CHL,2022,1.4
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/CHN,2018,1.6
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/CHN,2018,0.1
dcs:who/Adult_curr_e-cig,dcid:country/CHN,2018,0.9
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/COL,2019,1.0
dcs:who/Adult_curr_e-cig,dcid:country/COL,2019,0.7
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/COL,2019,0.4
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/CRI,2015,1.6
dcs:who/Adult_curr_e-cig,dcid:country/CRI,2015,1.3
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/CRI,2015,0.9
dcs:who/Adult_curr_e-cig,dcid:country/CZE,2021,7.4
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/CZE,2021,8.8
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/CZE,2021,6.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/DEU,2021,3.3
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/DEU,2021,4.5
dcs:who/Adult_curr_e-cig,dcid:country/DEU,2021,3.9
dcs:who/Adult_curr_e-cig,dcid:country/DNK,2022,5.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/ECU,2018,1.7
dcs:who/Adult_curr_e-cig,dcid:country/ECU,2018,2.2
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/ECU,2018,4.8
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/ESP,2020,1.2
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/ESP,2020,0.7
dcs:who/Adult_curr_e-cig,dcid:country/ESP,2020,0.9
dcs:who/Adult_curr_e-cig,dcid:country/EST,2020,2.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/FIN,2021,3.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/FIN,2021,1.0
dcs:who/Adult_curr_e-cig,dcid:country/FIN,2021,2.0
dcs:who/Adult_curr_e-cig,dcid:country/FRA,2021,6.7
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/GBR,2021,5.7
dcs:who/Adult_curr_e-cig,dcid:country/GBR,2021,7.7
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/GBR,2021,9.7
dcs:who/Adult_curr_e-cig,dcid:country/GEO,2019,0.3
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/GEO,2019,0.6
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/GEO,2019,0.0
dcs:who/Adult_curr_e-cig,dcid:country/GRC,2019,2.9
dcs:who/Adult_curr_e-cig,dcid:country/HRV,2019,1.1
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/HRV,2019,1.3
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/HRV,2019,0.9
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/IDN,2021,0.3
dcs:who/Adult_curr_e-cig,dcid:country/IDN,2021,3.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/IDN,2021,5.8
dcs:who/Adult_curr_e-cig,dcid:country/IND,2017,0.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/IRL,2022,5.0
dcs:who/Adult_curr_e-cig,dcid:country/IRL,2022,6.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/IRL,2022,7.0
dcs:who/Adult_curr_e-cig,dcid:country/ISL,2020,6.4
dcs:who/Adult_curr_e-cig,dcid:country/ITA,2022,1.7
dcs:who/Adult_curr_e-cig,dcid:country/KAZ,2019,1.3
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/KAZ,2019,2.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/KAZ,2019,0.6
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/KHM,2021,0.0
dcs:who/Adult_curr_e-cig,dcid:country/KHM,2021,0.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/KHM,2021,0.0
dcs:who/Adult_curr_e-cig,dcid:country/KOR,2021,2.5
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/KOR,2021,0.9
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/KOR,2021,4.2
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/LCA,2019,0.1
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/LCA,2019,0.8
dcs:who/Adult_curr_e-cig,dcid:country/LCA,2019,0.4
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/LTU,2021,9.3
dcs:who/Adult_curr_e-cig,dcid:country/LTU,2021,7.7
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/LTU,2021,6.0
dcs:who/Adult_curr_e-cig,dcid:country/LUX,2021,9.4
dcs:who/Adult_curr_e-cig,dcid:country/LVA,2020,2.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/MDA,2021,1.2
dcs:who/Adult_curr_e-cig,dcid:country/MDA,2021,0.7
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/MDA,2021,0.2
dcs:who/Adult_curr_e-cig,dcid:country/MEX,2021,1.6
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/MEX,2021,0.7
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/MEX,2021,2.5
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/MHL,2018,9.7
dcs:who/Adult_curr_e-cig,dcid:country/MHL,2018,5.5
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/MHL,2018,1.5
dcs:who/Adult_curr_e-cig,dcid:country/MLT,2020,1.0
dcs:who/Adult_curr_e-cig,dcid:country/MYS,2019,4.9
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/MYS,2019,0.3
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/MYS,2019,9.4
dcs:who/Adult_curr_e-cig,dcid:country/NLD,2020,1.0
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/NPL,2019,3.2
dcs:who/Adult_curr_e-cig,dcid:country/NPL,2019,1.6
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/NPL,2019,0.2
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/NZL,2021,9.5
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/NZL,2021,7.0
dcs:who/Adult_curr_e-cig,dcid:country/NZL,2021,8.2
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/PAN,2019,0.1
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/PAN,2019,0.8
dcs:who/Adult_curr_e-cig,dcid:country/PAN,2019,0.4
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/PHL,2021,3.6
dcs:who/Adult_curr_e-cig,dcid:country/PHL,2021,2.1
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/PHL,2021,0.5
dcs:who/Adult_curr_e-cig,dcid:country/POL,2021,0.9
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/POL,2021,0.4
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/POL,2021,1.5
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/QAT,2013,0.9
dcs:who/Adult_curr_e-cig,dcid:country/QAT,2013,0.2
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/QAT,2013,1.6
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/RUS,2022,4.6
dcs:who/Adult_curr_e-cig,dcid:country/RUS,2022,3.6
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/RUS,2022,2.9
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/SAU,2019,1.1
dcs:who/Adult_curr_e-cig,dcid:country/SAU,2019,0.8
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/SAU,2019,0.4
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/SLV,2022,2.5
dcs:who/Adult_curr_e-cig,dcid:country/SLV,2022,1.2
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/SLV,2022,0.1
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/SRB,2019,1.2
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/SRB,2019,0.6
dcs:who/Adult_curr_e-cig,dcid:country/SRB,2019,1.0
dcs:who/Adult_curr_e-cig,dcid:country/SVK,2020,1.0
dcs:who/Adult_curr_e-cig.SEX--F,dcid:country/SVN,2021,0.8
dcs:who/Adult_curr_e-cig.SEX--M,dcid:country/SVN,2021,1.8
dcs:who/Adult_curr_e-cig,dcid:country/SVN,2021,1.3
dcs:who/Adult_curr_e-cig,dcid:country/SWE,2022,2.0
