SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/ARE,2018,10.2
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/ARE,2018,1.4
dcs:who/Adult_daily_cig_smoking,dcid:country/ARE,2018,5.8
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/ARM,2016,1.6
dcs:who/Adult_daily_cig_smoking,dcid:country/ARM,2016,25.3
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/ARM,2016,46.9
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/AUS,2022,11.6
dcs:who/Adult_daily_cig_smoking,dcid:country/AUS,2022,9.7
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/AUS,2022,8.0
dcs:who/Adult_daily_cig_smoking,dcid:country/AUT,2020,14.6
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/AUT,2020,14.6
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/AUT,2020,14.6
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/BHS,2019,11.5
dcs:who/Adult_daily_cig_smoking,dcid:country/BHS,2019,6.0
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/BHS,2019,0.9
dcs:who/Adult_daily_cig_smoking,dcid:country/BOL,2019,3.4
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/BOL,2019,0.9
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/BOL,2019,6.0
dcs:who/Adult_daily_cig_smoking,dcid:country/BWA,2017,8.9
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/BWA,2017,1.5
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/BWA,2017,16.8
dcs:who/Adult_daily_cig_smoking,dcid:country/CAN,2021,9.0
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/CAN,2021,9.0
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/CAN,2021,8.0
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/CHE,2022,11.6
dcs:who/Adult_daily_cig_smoking,dcid:country/CHE,2022,12.7
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/CHE,2022,13.8
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/CHL,2022,20.4
dcs:who/Adult_daily_cig_smoking,dcid:country/CHL,2022,20.9
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/CHL,2022,22.2
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/CHN,2018,43.7
dcs:who/Adult_daily_cig_smoking,dcid:country/CHN,2018,22.9
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/CHN,2018,1.5
dcs:who/Adult_daily_cig_smoking,dcid:country/CPV,2020,4.3
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/CPV,2020,1.0
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/CPV,2020,7.5
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/CRI,2015,8.4
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/CRI,2015,2.9
dcs:who/Adult_daily_cig_smoking,dcid:country/CRI,2015,5.7
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/CZE,2021,21.2
dcs:who/Adult_daily_cig_smoking,dcid:country/CZE,2021,17.1
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/CZE,2021,13.0
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/ECU,2018,0.9
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/ECU,2018,6.0
dcs:who/Adult_daily_cig_smoking,dcid:country/ECU,2018,3.4
dcs:who/Adult_daily_cig_smoking,dcid:country/EGY,2017,15.4
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/EGY,2017,29.7
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/EGY,2017,0.3
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/ERI,2010,0.1
dcs:who/Adult_daily_cig_smoking,dcid:country/ERI,2010,1.7
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/ERI,2010,8.8
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/ETH,2016,0.2
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/ETH,2016,4.6
dcs:who/Adult_daily_cig_smoking,dcid:country/ETH,2016,2.4
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/FSM,2012,39.8
dcs:who/Adult_daily_cig_smoking,dcid:country/FSM,2012,35.4
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/FSM,2012,25.4
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/GAB,2012,21.5
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/GEO,2019,6.6
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/GEO,2019,40.2
dcs:who/Adult_daily_cig_smoking,dcid:country/GEO,2019,22.6
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/GNQ,2011,25.9
dcs:who/Adult_daily_cig_smoking,dcid:country/GRD,2011,11.1
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/GUY,2016,18.0
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/GUY,2016,2.1
dcs:who/Adult_daily_cig_smoking,dcid:country/GUY,2016,10.3
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/KGZ,2013,41.7
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/KGZ,2013,2.4
dcs:who/Adult_daily_cig_smoking,dcid:country/KGZ,2013,22.2
dcs:who/Adult_daily_cig_smoking,dcid:country/KNA,2008,4.0
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/KNA,2008,7.4
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/KNA,2008,0.6
dcs:who/Adult_daily_cig_smoking,dcid:country/KOR,2021,15.9
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/KOR,2021,4.6
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/KOR,2021,27.2
dcs:who/Adult_daily_cig_smoking.SEX--M,dcid:country/KWT,2014,31.8
dcs:who/Adult_daily_cig_smoking.SEX--F,dcid:country/KWT,2014,1.3
dcs:who/Adult_daily_cig_smoking,dcid:country/KWT,2014,15.9
