SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_daily_smokeless,dcid:country/AFG,2019,17.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/AFG,2019,29.4
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/AFG,2019,3.7
dcs:who/Adult_daily_smokeless,dcid:country/ARE,2018,0.3
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/ARE,2018,0.5
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/ARE,2018,0.1
dcs:who/Adult_daily_smokeless,dcid:country/ARM,2016,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/ARM,2016,0.3
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/ARM,2016,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/AZE,2011,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/BFA,2021,1.8
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/BFA,2021,6.1
dcs:who/Adult_daily_smokeless,dcid:country/BFA,2021,4.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/BGD,2018,22.3
dcs:who/Adult_daily_smokeless,dcid:country/BGD,2018,23.9
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/BGD,2018,25.4
dcs:who/Adult_daily_smokeless,dcid:country/BRA,2013,0.1
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/BRA,2013,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/BRA,2013,0.2
dcs:who/Adult_daily_smokeless,dcid:country/BRB,2007,0.2
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/BRB,2007,0.4
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/BRB,2007,0.0
dcs:who/Adult_daily_smokeless,dcid:country/BRN,2016,0.2
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/BRN,2016,0.3
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/BRN,2016,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/BWA,2017,1.6
dcs:who/Adult_daily_smokeless,dcid:country/BWA,2017,3.1
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/BWA,2017,4.5
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/CHN,2018,0.0
dcs:who/Adult_daily_smokeless,dcid:country/CHN,2018,0.5
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/CHN,2018,0.9
dcs:who/Adult_daily_smokeless,dcid:country/COM,2011,16.4
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/COM,2011,17.1
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/COM,2011,15.6
dcs:who/Adult_daily_smokeless,dcid:country/CPV,2007,3.6
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/CPV,2007,2.6
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/CPV,2007,4.6
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/CZE,2021,1.5
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/CZE,2021,0.3
dcs:who/Adult_daily_smokeless,dcid:country/CZE,2021,0.9
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/DMA,2008,0.9
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/DMA,2008,0.0
dcs:who/Adult_daily_smokeless,dcid:country/DMA,2008,0.5
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/DZA,2017,0.3
dcs:who/Adult_daily_smokeless,dcid:country/DZA,2017,7.6
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/DZA,2017,15.5
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/EGY,2017,0.2
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/EGY,2017,0.0
dcs:who/Adult_daily_smokeless,dcid:country/EGY,2017,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/ERI,2010,10.8
dcs:who/Adult_daily_smokeless,dcid:country/ERI,2010,2.0
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/ERI,2010,0.1
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/FIN,2021,1.0
dcs:who/Adult_daily_smokeless,dcid:country/FIN,2021,4.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/FIN,2021,7.0
dcs:who/Adult_daily_smokeless,dcid:country/GHA,2014,0.0
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/GHA,2014,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/GHA,2014,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/GMB,2010,0.4
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/GMB,2010,1.3
dcs:who/Adult_daily_smokeless,dcid:country/GMB,2010,0.9
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/IDN,2021,0.4
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/IDN,2021,0.5
dcs:who/Adult_daily_smokeless,dcid:country/IDN,2021,0.5
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/IND,2017,25.1
dcs:who/Adult_daily_smokeless,dcid:country/IND,2017,18.2
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/IND,2017,11.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/ISL,2020,3.1
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/ISL,2020,1.3
dcs:who/Adult_daily_smokeless,dcid:country/ISL,2020,2.2
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/KAZ,2019,1.1
dcs:who/Adult_daily_smokeless,dcid:country/KAZ,2019,0.5
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/KAZ,2019,0.0
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/KEN,2015,2.8
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/KEN,2015,2.1
dcs:who/Adult_daily_smokeless,dcid:country/KEN,2015,2.4
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/KGZ,2013,9.6
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/KGZ,2013,0.1
dcs:who/Adult_daily_smokeless,dcid:country/KGZ,2013,4.9
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/KHM,2021,6.2
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/KHM,2021,0.2
dcs:who/Adult_daily_smokeless,dcid:country/KHM,2021,3.4
dcs:who/Adult_daily_smokeless,dcid:country/KIR,2016,2.9
dcs:who/Adult_daily_smokeless,dcid:country/KNA,2008,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/KNA,2008,0.3
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/KNA,2008,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/LAO,2015,0.3
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/LAO,2015,7.6
dcs:who/Adult_daily_smokeless,dcid:country/LAO,2015,4.1
dcs:who/Adult_daily_smokeless,dcid:country/LBR,2011,1.5
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/LBR,2011,2.5
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/LBR,2011,0.5
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/LBY,2009,1.2
dcs:who/Adult_daily_smokeless,dcid:country/LBY,2009,0.7
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/LKA,2020,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/LKA,2020,0.0
dcs:who/Adult_daily_smokeless,dcid:country/LKA,2020,0.0
dcs:who/Adult_daily_smokeless,dcid:country/MDV,2021,3.3
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/MDV,2021,3.9
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/MDV,2021,2.8
dcs:who/Adult_daily_smokeless,dcid:country/MNG,2019,0.5
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/MNG,2019,0.2
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/MNG,2019,0.8
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/MOZ,2005,7.3
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/MOZ,2005,2.2
dcs:who/Adult_daily_smokeless,dcid:country/MOZ,2005,5.2
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/MWI,2017,0.2
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/MWI,2017,1.2
dcs:who/Adult_daily_smokeless,dcid:country/MWI,2017,0.8
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/NER,2021,1.1
dcs:who/Adult_daily_smokeless,dcid:country/NER,2021,0.9
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/NER,2021,0.7
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/NGA,2012,2.2
dcs:who/Adult_daily_smokeless,dcid:country/NGA,2012,1.4
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/NGA,2012,0.6
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/NOR,2019,7.0
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/NPL,2019,3.8
dcs:who/Adult_daily_smokeless,dcid:country/NPL,2019,15.3
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/NPL,2019,28.2
dcs:who/Adult_daily_smokeless,dcid:country/NRU,2016,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/OMN,2017,1.1
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/OMN,2017,0.1
dcs:who/Adult_daily_smokeless,dcid:country/OMN,2017,0.6
dcs:who/Adult_daily_smokeless,dcid:country/PLW,2012,29.4
dcs:who/Adult_daily_smokeless,dcid:country/RWA,2021,0.5
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/SAU,2019,2.1
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/SAU,2019,0.2
dcs:who/Adult_daily_smokeless,dcid:country/SAU,2019,1.4
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/SDN,2016,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/SDN,2016,12.3
dcs:who/Adult_daily_smokeless,dcid:country/SDN,2016,6.7
dcs:who/Adult_daily_smokeless,dcid:country/SLB,2015,1.8
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/SLV,2022,0.1
dcs:who/Adult_daily_smokeless,dcid:country/SLV,2022,0.3
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/SLV,2022,0.6
dcs:who/Adult_daily_smokeless,dcid:country/SVN,2021,0.7
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/SVN,2021,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/SVN,2021,1.2
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/SWE,2022,19.0
dcs:who/Adult_daily_smokeless,dcid:country/SWE,2022,12.0
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/SWE,2022,4.0
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/SWZ,2014,1.4
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/SWZ,2014,1.4
dcs:who/Adult_daily_smokeless,dcid:country/SWZ,2014,1.4
dcs:who/Adult_daily_smokeless,dcid:country/SYC,2013,0.2
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/SYC,2013,0.3
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/SYC,2013,0.2
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/SYR,1999,0.0
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/SYR,1999,0.0
dcs:who/Adult_daily_smokeless,dcid:country/SYR,1999,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/TGO,2011,4.0
dcs:who/Adult_daily_smokeless,dcid:country/TGO,2011,2.6
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/TGO,2011,1.4
dcs:who/Adult_daily_smokeless,dcid:country/THA,2017,1.8
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/THA,2017,2.3
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/THA,2017,1.2
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/TJK,2017,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/TJK,2017,13.6
dcs:who/Adult_daily_smokeless,dcid:country/TJK,2017,7.1
dcs:who/Adult_daily_smokeless,dcid:country/TKM,2018,0.1
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/TKM,2018,0.0
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/TKM,2018,0.2
dcs:who/Adult_daily_smokeless,dcid:country/TTO,2011,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/TTO,2011,0.0
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/TTO,2011,0.2
dcs:who/Adult_daily_smokeless,dcid:country/TZA,2018,1.6
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/TZA,2018,1.4
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/TZA,2018,1.7
dcs:who/Adult_daily_smokeless,dcid:country/UGA,2014,2.8
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/UGA,2014,3.3
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/UGA,2014,2.4
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/URY,2017,0.2
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/URY,2017,0.0
dcs:who/Adult_daily_smokeless,dcid:country/URY,2017,0.1
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/UZB,2019,17.3
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/UZB,2019,0.2
dcs:who/Adult_daily_smokeless,dcid:country/UZB,2019,8.6
dcs:who/Adult_daily_smokeless.SEX--M,dcid:country/YEM,2013,15.9
dcs:who/Adult_daily_smokeless,dcid:country/YEM,2013,10.5
dcs:who/Adult_daily_smokeless.SEX--F,dcid:country/YEM,2013,5.3
