SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/AFG,2019,5.6
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/AFG,2019,39.7
dcs:who/Adult_daily_tob_use,dcid:country/AFG,2019,23.3
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/ARE,2018,14.1
dcs:who/Adult_daily_tob_use,dcid:country/ARE,2018,8.1
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/ARE,2018,2.0
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/ARM,2016,49.9
dcs:who/Adult_daily_tob_use,dcid:country/ARM,2016,26.9
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/ARM,2016,1.6
dcs:who/Adult_daily_tob_use,dcid:country/BFA,2021,11.7
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/BFA,2021,6.3
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/BFA,2021,17.3
dcs:who/Adult_daily_tob_use,dcid:country/BGD,2018,40.5
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/BGD,2018,55.8
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/BGD,2018,25.7
dcs:who/Adult_daily_tob_use,dcid:country/BHS,2019,7.7
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/BHS,2019,1.2
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/BHS,2019,14.7
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/BOL,2019,7.1
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/BOL,2019,1.1
dcs:who/Adult_daily_tob_use,dcid:country/BOL,2019,4.1
dcs:who/Adult_daily_tob_use,dcid:country/BRN,2016,13.3
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/BRN,2016,1.9
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/BRN,2016,24.8
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/BWA,2017,6.0
dcs:who/Adult_daily_tob_use,dcid:country/BWA,2017,12.4
dcs:who/Adult_daily_tob_use.SEX--M,dcid:country/BWA,2017,19.2
dcs:who/Adult_daily_tob_use,dcid:country/CPV,2020,7.1
dcs:who/Adult_daily_tob_use.SEX--F,dcid:country/CPV,2020,3.8
