SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1989,120.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1990,123.5
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1992,121.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1995,122.9
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1999,121.3
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2006,123.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1982,123.6
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2006,122.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1984,120.2
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1995,121.0
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1998,121.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1998,122.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1999,123.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1986,123.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1986,120.6
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2005,123.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2000,121.4
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1982,119.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1987,120.7
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1997,122.9
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2007,122.2
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2009,122.5
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2008,122.4
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1984,123.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1988,120.8
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1994,123.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1988,123.7
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2002,123.3
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1990,120.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2007,124.0
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1997,121.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1992,123.3
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1981,119.5
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1987,123.7
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2000,123.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1980,119.3
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2004,123.6
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1993,123.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1989,123.6
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1983,123.6
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2004,121.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2001,123.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1993,121.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1980,123.5
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1991,121.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2003,123.4
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2008,124.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1985,123.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1985,120.4
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1991,123.4
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2003,121.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2001,121.4
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2002,121.6
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,2009,124.3
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1996,121.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1996,122.8
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1983,119.9
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,2005,122.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AFG,1981,123.5
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AFG,1994,121.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1986,131.4
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1995,130.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1998,129.9
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2000,126.0
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1985,126.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2003,130.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2008,131.0
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2004,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2002,130.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2001,126.0
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1984,126.3
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2007,126.2
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1983,126.4
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1981,126.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1980,126.8
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2008,126.2
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1989,126.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1988,131.2
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2006,126.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1990,131.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2001,130.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2006,130.6
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1996,126.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2005,130.5
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1984,131.8
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2002,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1982,132.4
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1980,133.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1993,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1987,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1992,130.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1986,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1983,132.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1992,126.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2007,130.8
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1999,126.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1981,132.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2003,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1994,126.0
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1997,126.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1996,130.0
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1982,126.5
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1998,126.0
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1988,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1994,130.3
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1993,130.5
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2004,130.3
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1990,126.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2009,131.2
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1995,126.0
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,2000,129.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1987,131.3
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1997,129.9
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2009,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,2005,126.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1985,131.6
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1991,130.9
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/AGO,1991,126.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1989,131.1
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/AGO,1999,129.9
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1986,130.4
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1980,131.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,1980,132.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,2004,132.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,2006,133.4
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,1986,132.5
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,2002,129.4
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1997,128.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1988,129.9
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,2008,129.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,2005,133.2
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,1995,131.5
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1994,128.8
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1996,128.7
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1991,129.3
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1993,128.9
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,2007,133.7
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,1989,132.4
dcs:who/BP_05.AGE--Y_GE25__SEX--M,dcid:country/ALB,1994,131.5
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1985,130.6
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,1984,130.8
dcs:who/BP_05.AGE--Y_GE25__SEX--F,dcid:country/ALB,2004,129.6
