SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CCO_3,dcid:country/AFG,2014,152.0
dcs:who/CCO_3,dcid:country/AFG,2012,147.0
dcs:who/CCO_3,dcid:country/ALB,2014,45.0
dcs:who/CCO_3,dcid:country/ALB,2012,41.0
dcs:who/CCO_3,dcid:country/ARE,2014,47.0
dcs:who/CCO_3,dcid:country/ARE,2012,40.0
dcs:who/CCO_3,dcid:country/ARG,2014,75.0
dcs:who/CCO_3,dcid:country/ARG,2012,71.0
dcs:who/CCO_3,dcid:country/ARM,2014,62.0
dcs:who/CCO_3,dcid:country/ARM,2012,59.0
dcs:who/CCO_3,dcid:country/AUS,2014,19.0
dcs:who/CCO_3,dcid:country/AUS,2012,17.0
dcs:who/CCO_3,dcid:country/AUT,2014,5.0
dcs:who/CCO_3,dcid:country/AUT,2012,14.0
dcs:who/CCO_3,dcid:country/AZE,2014,59.0
dcs:who/CCO_3,dcid:country/AZE,2012,54.0
dcs:who/CCO_3,dcid:country/BDI,2014,109.0
dcs:who/CCO_3,dcid:country/BDI,2012,98.0
dcs:who/CCO_3,dcid:country/BEL,2014,8.0
dcs:who/CCO_3,dcid:country/BEL,2012,12.0
dcs:who/CCO_3,dcid:country/BEN,2014,142.0
dcs:who/CCO_3,dcid:country/BEN,2012,135.0
dcs:who/CCO_3,dcid:country/BFA,2014,144.0
dcs:who/CCO_3,dcid:country/BFA,2012,131.0
dcs:who/CCO_3,dcid:country/BGD,2014,111.0
dcs:who/CCO_3,dcid:country/BGD,2012,111.0
dcs:who/CCO_3,dcid:country/BGR,2014,44.0
dcs:who/CCO_3,dcid:country/BGR,2012,38.0
dcs:who/CCO_3,dcid:country/BHR,2014,51.0
dcs:who/CCO_3,dcid:country/BHR,2012,45.0
dcs:who/CCO_3,dcid:country/BHS,2014,58.0
dcs:who/CCO_3,dcid:country/BHS,2012,53.0
dcs:who/CCO_3,dcid:country/BIH,2014,41.0
dcs:who/CCO_3,dcid:country/BLR,2014,31.0
dcs:who/CCO_3,dcid:country/BLZ,2014,90.0
dcs:who/CCO_3,dcid:country/BLZ,2012,79.0
dcs:who/CCO_3,dcid:country/BOL,2014,94.0
dcs:who/CCO_3,dcid:country/BOL,2012,97.0
dcs:who/CCO_3,dcid:country/BRA,2014,97.0
dcs:who/CCO_3,dcid:country/BRA,2012,85.0
dcs:who/CCO_3,dcid:country/BRB,2014,69.0
dcs:who/CCO_3,dcid:country/BRB,2012,61.0
dcs:who/CCO_3,dcid:country/BTN,2014,97.0
dcs:who/CCO_3,dcid:country/BTN,2012,92.0
dcs:who/CCO_3,dcid:country/BWA,2014,106.0
dcs:who/CCO_3,dcid:country/BWA,2012,102.0
dcs:who/CCO_3,dcid:country/CAF,2014,147.0
dcs:who/CCO_3,dcid:country/CAF,2012,142.0
dcs:who/CCO_3,dcid:country/CAN,2014,25.0
dcs:who/CCO_3,dcid:country/CAN,2012,18.0
dcs:who/CCO_3,dcid:country/CHE,2014,2.0
dcs:who/CCO_3,dcid:country/CHE,2012,3.0
dcs:who/CCO_3,dcid:country/CHL,2014,65.0
dcs:who/CCO_3,dcid:country/CHL,2012,66.0
dcs:who/CCO_3,dcid:country/CHN,2014,40.0
dcs:who/CCO_3,dcid:country/CHN,2012,35.0
dcs:who/CCO_3,dcid:country/CIV,2014,151.0
dcs:who/CCO_3,dcid:country/CIV,2012,138.0
dcs:who/CCO_3,dcid:country/CMR,2014,132.0
dcs:who/CCO_3,dcid:country/CMR,2012,137.0
dcs:who/CCO_3,dcid:country/COD,2014,149.0
dcs:who/CCO_3,dcid:country/COD,2012,144.0
