SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1995,12.9776
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2011,8.60883
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2008,9.6899
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2001,10.58862
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2018,7.08532
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2011,7.63744
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2017,7.26589
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1998,12.014
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1992,13.20339
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2005,9.75804
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1992,13.63115
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2009,8.19999
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1997,11.5035
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2016,6.43374
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2005,9.41676
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2001,10.24376
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2022,6.43355
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2007,9.62207
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2014,7.89014
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2003,10.11321
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2008,8.84586
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1991,14.32965
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2002,10.33449
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1990,14.87123
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1993,13.33272
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1999,11.64043
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1999,11.18536
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2021,6.56667
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1999,10.84865
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2020,6.21441
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2010,8.97184
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2012,7.379
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2003,10.57469
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2013,7.62878
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2022,5.94964
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2019,6.38792
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2018,6.08937
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2002,10.80468
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2014,6.88149
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2007,9.14721
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2019,6.88667
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1995,12.54193
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1993,12.9097
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1994,13.99272
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1992,14.09814
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1996,12.61773
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2007,8.75338
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2009,9.11571
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2013,7.14363
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1996,11.80976
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1991,14.79399
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2014,7.37361
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2006,9.85969
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2003,9.76274
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2006,9.0168
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2015,7.68668
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2012,8.36792
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2001,11.05718
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1998,11.56606
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1998,11.22807
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1997,12.29748
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,1993,13.79446
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1991,13.91357
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1995,12.14368
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2009,8.62781
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1990,13.98539
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1996,12.16991
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1994,13.56223
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2012,7.85581
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2019,5.90442
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1997,11.84393
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2020,5.74038
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2005,10.20952
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2008,9.23307
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2016,6.93327
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2000,10.5133
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2000,11.32301
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2021,5.6147
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2010,8.07267
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2010,8.49476
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2004,10.12853
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,1994,13.16413
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2004,10.57638
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2013,8.14198
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2015,7.16796
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2002,9.9853
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2017,6.25229
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2015,6.67433
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2018,6.57973
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2016,7.45306
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2006,9.39281
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,1990,14.39283
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2000,10.85036
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2017,6.75348
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:Earth,2020,6.70782
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2022,5.4912
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:Earth,2004,9.79816
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2021,6.08094
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:Earth,2011,8.1012
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2017,6.11543
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2009,9.08465
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2019,4.04248
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2009,9.60347
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2012,8.14976
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2012,6.76092
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1996,16.6052
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1991,19.75933
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1994,17.22554
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2018,5.74788
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2002,12.33822
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2008,10.45143
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2004,12.41892
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1991,20.80003
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2015,6.20087
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2022,4.57011
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2014,5.80625
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2012,7.48384
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1991,20.24749
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2009,8.52454
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2000,13.5857
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1993,18.26247
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2021,3.53614
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2013,6.26593
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2019,5.4076
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2007,10.49238
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1990,19.08707
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2011,7.2943
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2013,7.69266
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1999,14.33274
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2002,12.45837
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1990,19.52601
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2022,3.9818
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2018,5.07591
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2001,13.00471
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1995,17.21743
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1999,14.00394
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2020,5.08829
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1997,15.90559
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2015,6.90028
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2008,10.85287
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1992,18.83272
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2021,4.19708
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2020,4.45669
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1995,16.77455
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1992,18.34636
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2019,4.75238
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2005,10.71889
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2004,12.26245
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2000,13.5237
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2016,6.4824
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2014,6.56259
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2010,8.50593
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1998,14.84587
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2015,5.44042
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2018,4.34586
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2005,11.02117
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1998,15.11696
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1993,17.78139
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1997,15.22059
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2016,5.77432
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2011,7.98493
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2004,12.56568
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2001,12.96499
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1993,17.3514
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2017,4.66319
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1990,20.02877
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2020,3.77298
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2006,10.21687
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1992,17.91556
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2013,7.00864
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1996,16.18818
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2007,9.66905
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2010,9.09123
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2005,11.30666
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2000,13.47479
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2001,12.92805
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,1994,17.68449
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2008,10.01425
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2003,11.88894
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2003,12.06977
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2003,11.69903
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2002,12.57357
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2022,3.3454
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,1997,15.54341
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2011,8.62174
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1998,14.60765
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,2006,10.90952
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2006,10.57359
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1996,15.81204
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2017,5.41951
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2010,7.8718
dcs:who/CHILDMORT5TO14.AGE--Y5T14,dcid:SouthEasternAsia,2007,10.09446
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--M,dcid:SouthEasternAsia,1994,16.81461
dcs:who/CHILDMORT5TO14.AGE--Y5T14__SEX--F,dcid:SouthEasternAsia,2016,5.00468
