SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CHILDVIOL.AGE--Y1T14__SEX--F,dcid:SubSaharanAfrica,2022,85.41
dcs:who/CHILDVIOL.AGE--Y1T14__SEX--M,dcid:SubSaharanAfrica,2022,86.106
dcs:who/CHILDVIOL.AGE--Y1T14,dcid:SubSaharanAfrica,2022,85.752
dcs:who/CHILDVIOL.AGE--Y2T14__SEX--F,dcid:country/AFG,2011,74.1
dcs:who/CHILDVIOL.AGE--Y2T14,dcid:country/AFG,2011,74.4
dcs:who/CHILDVIOL.AGE--Y2T14__SEX--M,dcid:country/AFG,2011,74.8
dcs:who/CHILDVIOL.AGE--Y2T14__SEX--M,dcid:country/ALB,2018,49.4
dcs:who/CHILDVIOL.AGE--Y2T14,dcid:country/ALB,2018,47.5
dcs:who/CHILDVIOL.AGE--Y2T14__SEX--F,dcid:country/ALB,2018,45.4
dcs:who/CHILDVIOL.AGE--Y2T14__SEX--F,dcid:country/ARG,2020,58.3
dcs:who/CHILDVIOL.AGE--Y2T14,dcid:country/ARG,2020,59.4
dcs:who/CHILDVIOL.AGE--Y2T14__SEX--M,dcid:country/ARG,2020,60.4
dcs:who/CHILDVIOL.AGE--Y1T14__SEX--F,dcid:country/ARM,2016,66.8
dcs:who/CHILDVIOL.AGE--Y1T14__SEX--M,dcid:country/ARM,2016,70.8
dcs:who/CHILDVIOL.AGE--Y1T14,dcid:country/ARM,2016,68.9
dcs:who/CHILDVIOL.AGE--Y2T14,dcid:country/AZE,2006,76.8
dcs:who/CHILDVIOL.AGE--Y2T14__SEX--M,dcid:country/AZE,2006,80.0
dcs:who/CHILDVIOL.AGE--Y2T14__SEX--F,dcid:country/AZE,2006,73.8
dcs:who/CHILDVIOL.AGE--Y1T14__SEX--F,dcid:country/BDI,2017,88.6
dcs:who/CHILDVIOL.AGE--Y1T14,dcid:country/BDI,2017,89.6
dcs:who/CHILDVIOL.AGE--Y1T14__SEX--M,dcid:country/BDI,2017,90.6
dcs:who/CHILDVIOL.AGE--Y1T14__SEX--M,dcid:country/BEN,2018,91.1
dcs:who/CHILDVIOL.AGE--Y1T14__SEX--F,dcid:country/BEN,2018,91.2
dcs:who/CHILDVIOL.AGE--Y1T14,dcid:country/BEN,2018,91.2
