SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2016,5.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2015,8.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2014,4.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2013,14.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2012,0.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2000,198.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,1994,118.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,1993,931.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,1995,624.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,1997,125.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2010,10.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,1999,152.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,1998,0.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2008,22.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2011,44.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2009,11.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2003,7.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2001,114.0
dcs:who/CHOLERA_0000000002,dcid:country/AFG,2005,0.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2016,3.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2014,3.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2013,86.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2012,98.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1994,187.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2011,110.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1990,809.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2006,2722.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2010,30.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1996,42.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1991,582.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2005,0.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1995,248.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1989,925.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2007,513.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1988,1542.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2008,243.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1987,1403.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,2009,88.0
dcs:who/CHOLERA_0000000002,dcid:country/AGO,1992,184.0
dcs:who/CHOLERA_0000000002,dcid:country/ALB,1994,25.0
dcs:who/CHOLERA_0000000002,dcid:country/AND,1993,0.0
dcs:who/CHOLERA_0000000002,dcid:country/ARG,1997,12.0
dcs:who/CHOLERA_0000000002,dcid:country/ARG,1996,5.0
dcs:who/CHOLERA_0000000002,dcid:country/ARG,1995,1.0
dcs:who/CHOLERA_0000000002,dcid:country/ARG,1993,34.0
dcs:who/CHOLERA_0000000002,dcid:country/ARG,1994,15.0
dcs:who/CHOLERA_0000000002,dcid:country/ARG,1998,0.0
dcs:who/CHOLERA_0000000002,dcid:country/ARG,1992,15.0
dcs:who/CHOLERA_0000000002,dcid:country/ARM,1998,0.0
dcs:who/CHOLERA_0000000002,dcid:country/AUS,2016,0.0
dcs:who/CHOLERA_0000000002,dcid:country/AUS,2014,0.0
dcs:who/CHOLERA_0000000002,dcid:country/AUS,2013,0.0
dcs:who/CHOLERA_0000000002,dcid:country/AUS,2012,0.0
