SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,2009,2927087.0
dcs:who/CM_02.AGE--M0T11,dcid:Earth,2018,4136699.0
dcs:who/CM_02.AGE--M0T11,dcid:Earth,1994,8059810.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,1992,4581882.0
dcs:who/CM_02.AGE--M0T11,dcid:Earth,2001,6776585.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2011,2284833.0
dcs:who/CM_02.AGE--M0T11,dcid:Earth,2012,4927108.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2007,2549452.0
dcs:who/CM_02.AGE--M0T11,dcid:Earth,2003,6356099.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,1999,3227808.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2013,2160707.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,1994,4399343.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,2001,3694795.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,1998,3324593.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,2014,2550512.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2014,2091273.0
dcs:who/CM_02.AGE--M0T11,dcid:Earth,1998,7312225.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,1990,4023314.0
dcs:who/CM_02.AGE--M0T11,dcid:Earth,1990,8869350.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,2022,2046230.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2018,1855861.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2010,2354682.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,1991,3922945.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,1994,3660467.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,1998,3987632.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2003,2895179.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,1999,3888583.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2001,3081790.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,2003,3460920.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2016,1972023.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2022,1650817.0
dcs:who/CM_02.AGE--M0T11__SEX--F,dcid:Earth,2009,2415709.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,1991,4729731.0
dcs:who/CM_02.AGE--M0T11__SEX--M,dcid:Earth,2018,2280838.0
