SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/E12_compliance,dcid:country/ALB,2014,0.0
dcs:who/E12_compliance,dcid:country/ARG,2014,7.0
dcs:who/E12_compliance,dcid:country/BFA,2014,8.0
dcs:who/E12_compliance,dcid:country/BRA,2014,9.0
dcs:who/E12_compliance,dcid:country/COK,2014,8.0
dcs:who/E12_compliance,dcid:country/COL,2014,5.0
dcs:who/E12_compliance,dcid:country/CRI,2014,5.0
dcs:who/E12_compliance,dcid:country/CYP,2014,5.0
dcs:who/E12_compliance,dcid:country/DNK,2014,8.0
dcs:who/E12_compliance,dcid:country/EGY,2014,2.0
dcs:who/E12_compliance,dcid:country/ERI,2014,10.0
dcs:who/E12_compliance,dcid:country/ESP,2014,10.0
dcs:who/E12_compliance,dcid:country/FJI,2014,10.0
dcs:who/E12_compliance,dcid:country/GBR,2014,10.0
dcs:who/E12_compliance,dcid:country/GHA,2014,8.0
dcs:who/E12_compliance,dcid:country/GIN,2014,0.0
dcs:who/E12_compliance,dcid:country/HUN,2014,10.0
dcs:who/E12_compliance,dcid:country/IND,2014,4.0
dcs:who/E12_compliance,dcid:country/IRN,2014,8.0
dcs:who/E12_compliance,dcid:country/ISL,2014,10.0
dcs:who/E12_compliance,dcid:country/KEN,2014,10.0
dcs:who/E12_compliance,dcid:country/KIR,2014,5.0
dcs:who/E12_compliance,dcid:country/LBY,2014,5.0
dcs:who/E12_compliance,dcid:country/MDG,2014,7.0
dcs:who/E12_compliance,dcid:country/MDV,2014,1.0
dcs:who/E12_compliance,dcid:country/MLI,2014,4.0
dcs:who/E12_compliance,dcid:country/MLT,2014,7.0
dcs:who/E12_compliance,dcid:country/MNE,2014,8.0
dcs:who/E12_compliance,dcid:country/MNG,2014,6.0
dcs:who/E12_compliance,dcid:country/MUS,2014,9.0
dcs:who/E12_compliance,dcid:country/NER,2014,0.0
dcs:who/E12_compliance,dcid:country/NOR,2014,9.0
dcs:who/E12_compliance,dcid:country/NPL,2014,10.0
dcs:who/E12_compliance,dcid:country/PAN,2014,10.0
dcs:who/E12_compliance,dcid:country/QAT,2014,10.0
dcs:who/E12_compliance,dcid:country/RUS,2014,5.0
dcs:who/E12_compliance,dcid:country/SDN,2014,5.0
dcs:who/E12_compliance,dcid:country/SUR,2014,5.0
dcs:who/E12_compliance,dcid:country/SVN,2014,8.0
dcs:who/E12_compliance,dcid:country/SYC,2014,10.0
dcs:who/E12_compliance,dcid:country/TCD,2014,6.0
dcs:who/E12_compliance,dcid:country/TGO,2014,8.0
dcs:who/E12_compliance,dcid:country/TON,2014,7.0
dcs:who/E12_compliance,dcid:country/TUN,2014,9.0
dcs:who/E12_compliance,dcid:country/TUR,2014,8.0
dcs:who/E12_compliance,dcid:country/TUV,2014,9.0
dcs:who/E12_compliance,dcid:country/URY,2014,10.0
dcs:who/E12_compliance,dcid:country/VNM,2014,8.0
dcs:who/E12_compliance,dcid:country/VUT,2014,6.0
dcs:who/E12_compliance,dcid:country/YEM,2014,7.0
