SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/EC_indirect_compliance,dcid:country/AFG,2010,5.0
dcs:who/EC_indirect_compliance,dcid:country/AFG,2007,1.0
dcs:who/EC_indirect_compliance,dcid:country/AFG,2012,5.0
dcs:who/EC_indirect_compliance,dcid:country/AFG,2014,5.0
dcs:who/EC_indirect_compliance,dcid:country/ALB,2010,6.0
dcs:who/EC_indirect_compliance,dcid:country/ALB,2012,8.0
dcs:who/EC_indirect_compliance,dcid:country/ALB,2014,0.0
dcs:who/EC_indirect_compliance,dcid:country/ARE,2010,5.0
dcs:who/EC_indirect_compliance,dcid:country/ARE,2007,4.0
dcs:who/EC_indirect_compliance,dcid:country/ARG,2012,5.0
dcs:who/EC_indirect_compliance,dcid:country/ARG,2014,6.0
dcs:who/EC_indirect_compliance,dcid:country/ARM,2010,3.0
dcs:who/EC_indirect_compliance,dcid:country/ARM,2012,2.0
dcs:who/EC_indirect_compliance,dcid:country/ARM,2014,5.0
dcs:who/EC_indirect_compliance,dcid:country/AUS,2010,10.0
dcs:who/EC_indirect_compliance,dcid:country/AUT,2010,6.0
dcs:who/EC_indirect_compliance,dcid:country/AUT,2012,2.0
dcs:who/EC_indirect_compliance,dcid:country/AUT,2014,9.0
dcs:who/EC_indirect_compliance,dcid:country/AZE,2010,4.0
dcs:who/EC_indirect_compliance,dcid:country/AZE,2012,8.0
dcs:who/EC_indirect_compliance,dcid:country/AZE,2014,5.0
dcs:who/EC_indirect_compliance,dcid:country/BEL,2010,9.0
dcs:who/EC_indirect_compliance,dcid:country/BEL,2012,9.0
dcs:who/EC_indirect_compliance,dcid:country/BEL,2014,7.0
dcs:who/EC_indirect_compliance,dcid:country/BFA,2010,2.0
dcs:who/EC_indirect_compliance,dcid:country/BFA,2012,3.0
dcs:who/EC_indirect_compliance,dcid:country/BFA,2014,8.0
dcs:who/EC_indirect_compliance,dcid:country/BGD,2010,6.0
dcs:who/EC_indirect_compliance,dcid:country/BGD,2007,5.0
dcs:who/EC_indirect_compliance,dcid:country/BGD,2012,5.0
dcs:who/EC_indirect_compliance,dcid:country/BGD,2014,7.0
dcs:who/EC_indirect_compliance,dcid:country/BGR,2010,8.0
dcs:who/EC_indirect_compliance,dcid:country/BGR,2012,3.0
dcs:who/EC_indirect_compliance,dcid:country/BGR,2014,7.0
dcs:who/EC_indirect_compliance,dcid:country/BHR,2010,9.0
dcs:who/EC_indirect_compliance,dcid:country/BHR,2007,6.0
dcs:who/EC_indirect_compliance,dcid:country/BHR,2012,9.0
dcs:who/EC_indirect_compliance,dcid:country/BIH,2010,5.0
dcs:who/EC_indirect_compliance,dcid:country/BIH,2012,5.0
dcs:who/EC_indirect_compliance,dcid:country/BIH,2014,5.0
dcs:who/EC_indirect_compliance,dcid:country/BLR,2010,8.0
dcs:who/EC_indirect_compliance,dcid:country/BLR,2012,3.0
dcs:who/EC_indirect_compliance,dcid:country/BLR,2014,7.0
dcs:who/EC_indirect_compliance,dcid:country/BOL,2010,4.0
dcs:who/EC_indirect_compliance,dcid:country/BOL,2012,1.0
dcs:who/EC_indirect_compliance,dcid:country/BOL,2014,3.0
dcs:who/EC_indirect_compliance,dcid:country/BRA,2010,4.0
dcs:who/EC_indirect_compliance,dcid:country/BRA,2007,6.0
dcs:who/EC_indirect_compliance,dcid:country/BRA,2012,5.0
dcs:who/EC_indirect_compliance,dcid:country/BRA,2014,9.0
dcs:who/EC_indirect_compliance,dcid:country/BRN,2010,10.0
dcs:who/EC_indirect_compliance,dcid:country/BRN,2012,10.0
dcs:who/EC_indirect_compliance,dcid:country/BRN,2014,10.0
dcs:who/EC_indirect_compliance,dcid:country/BTN,2010,10.0
dcs:who/EC_indirect_compliance,dcid:country/BTN,2012,6.0
dcs:who/EC_indirect_compliance,dcid:country/BTN,2014,9.0
dcs:who/EC_indirect_compliance,dcid:country/BWA,2007,5.0
dcs:who/EC_indirect_compliance,dcid:country/BWA,2012,5.0
dcs:who/EC_indirect_compliance,dcid:country/BWA,2014,6.0
