SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFSTATIC,dcid:country/ARG,2017,25.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/ARG,2015,3.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFSTATIC,dcid:country/BGR,2017,25.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/BHR,2014,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/BRA,2014,4.17
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFSTATIC,dcid:country/CHE,2017,40.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/CHE,2015,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/CYP,2014,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFSTATIC,dcid:country/DEU,2017,28.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/DEU,2014,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/FRA,2014,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/GRC,2014,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/IRN,2015,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/ITA,2014,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/JPN,2014,3.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/NOR,2014,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/NZL,2015,5.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/PER,2015,4.16
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/PHL,2014,4.17
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFSTATIC,dcid:country/RUS,2016,15.0
dcs:who/EMFLIMITELECTRIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/RUS,2016,0.5
