SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/ARG,2017,25.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/BHR,2017,100.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/BHR,2017,500.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/BRA,2017,83.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/BRA,2017,416.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/CHE,2017,500.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/CYP,2017,100.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/DEU,2017,100.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/GRC,2017,100.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/HUN,2018,100.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/IRN,2017,100.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/IRN,2017,500.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/ISR,2017,500.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/JPN,2017,200.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/PER,2017,83.0
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/PHL,2017,83.33
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFLOW,dcid:country/PHL,2017,416.67
dcs:who/EMFLIMITMAGNETIC.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFLOW,dcid:country/RUS,2017,5.0
