SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/ARG,2017,30.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/ARG,2017,60.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/ARG,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/ARG,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/AUS,2017,45.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/AUS,2017,22.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/AUS,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/AUS,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/AUT,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/AUT,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/BGR,2017,0.1
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/BGR,2017,0.1
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/BHR,2017,22.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/BHR,2017,45.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/BHR,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/BHR,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/BRA,2017,45.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/BRA,2017,22.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/BRA,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/BRA,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/CAN,2017,27.39
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/CAN,2017,19.36
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/CAN,2017,2.74
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/CAN,2017,4.4
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/CHE,2017,45.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/CHE,2017,22.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/CHL,2017,100.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/CHL,2017,100.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/CYP,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/CYP,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/DEU,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/DEU,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/FIN,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/FIN,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/FRA,2017,9.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/FRA,2017,4.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ0900,dcid:country/IRN,2017,22.5
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/IRN,2017,45.0
dcs:who/EMFLIMITPOWERDENSITY.EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO__EMFRADIOBAND--EMFFREQ1800,dcid:country/IRN,2017,9.0
