SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/EMFSAR.EMFBODYPART--EMFWHOLE__EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO,dcid:country/ARG,2017,0.4
dcs:who/EMFSAR.EMFBODYPART--EMFHEAD__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/ARG,2017,2.0
dcs:who/EMFSAR.EMFBODYPART--EMFWHOLE__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/ARG,2017,0.08
dcs:who/EMFSAR.EMFBODYPART--EMFLIMBS__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/ARG,2017,4.0
dcs:who/EMFSAR.EMFBODYPART--EMFHEAD__EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO,dcid:country/AUS,2017,10.0
dcs:who/EMFSAR.EMFBODYPART--EMFLIMBS__EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO,dcid:country/AUS,2017,20.0
dcs:who/EMFSAR.EMFBODYPART--EMFWHOLE__EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO,dcid:country/AUS,2017,0.4
dcs:who/EMFSAR.EMFBODYPART--EMFLIMBS__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/AUS,2017,4.0
dcs:who/EMFSAR.EMFBODYPART--EMFHEAD__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/AUS,2017,2.0
dcs:who/EMFSAR.EMFBODYPART--EMFWHOLE__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/AUS,2017,0.08
dcs:who/EMFSAR.EMFBODYPART--EMFLIMBS__EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO,dcid:country/AUT,2017,20.0
dcs:who/EMFSAR.EMFBODYPART--EMFHEAD__EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO,dcid:country/AUT,2017,10.0
dcs:who/EMFSAR.EMFBODYPART--EMFWHOLE__EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO,dcid:country/AUT,2017,0.4
dcs:who/EMFSAR.EMFBODYPART--EMFWHOLE__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/AUT,2017,0.08
dcs:who/EMFSAR.EMFBODYPART--EMFHEAD__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/AUT,2017,2.0
dcs:who/EMFSAR.EMFBODYPART--EMFLIMBS__EMFEXPOSED--EMFPUBLIC__EMFFREQUENCY--EMFRADIO,dcid:country/AUT,2017,4.0
dcs:who/EMFSAR.EMFBODYPART--EMFLIMBS__EMFEXPOSED--EMFWORKER__EMFFREQUENCY--EMFRADIO,dcid:country/BEL,2017,20.0
