SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2011,37.03263
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2018,43.64573
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2004,29.96409
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2019,44.56115
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2010,37.19495
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2007,35.19519
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2016,41.98931
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2012,36.78971
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2008,36.05524
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2017,42.83333
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2005,32.28464
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2013,37.79727
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2020,45.61865
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2015,40.79451
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2006,34.11836
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2009,36.75905
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2014,39.23621
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1997,19.6622
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1999,21.12139
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1995,18.46153
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2001,23.69494
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1996,19.06007
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1994,17.91527
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1981,9.09838
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1980,8.50379
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1989,14.89182
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1992,16.83922
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1990,15.66995
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1988,14.03252
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1986,12.50341
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2002,25.56542
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1991,16.27442
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1982,9.70954
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1998,20.31786
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1984,11.02218
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2003,27.71572
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1987,13.26437
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1983,10.37868
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,2000,22.11598
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1985,11.79048
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AFG,1993,17.39512
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2014,30.40413
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2016,30.85317
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2020,33.73872
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2007,26.58494
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2008,27.81334
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2015,30.48371
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2013,30.27579
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2009,28.76037
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2005,23.63785
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2010,29.39415
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,1999,15.94491
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2000,16.98158
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2002,19.38396
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2011,29.82935
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2019,32.96586
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2018,32.14061
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,1998,14.95312
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2004,22.18686
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2012,30.08238
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2006,25.12282
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2001,18.05609
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2003,20.74453
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,2017,31.50433
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,1986,5.9002
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,1996,13.14024
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,1988,7.14433
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,1983,4.40332
dcs:who/FAMILYPLANNINGUNPDUHC,dcid:country/AGO,1985,5.36635
