SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ5,dcid:country/ALB,2009,1.66
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ3,dcid:country/ALB,2015,4.65
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ2,dcid:country/ALB,2015,13.47
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ALB,2009,48.97
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ4,dcid:country/ALB,2015,2.37
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ4,dcid:country/ALB,2009,1.44
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ5,dcid:country/ALB,2015,0.55
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ3,dcid:country/ALB,2009,1.62
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ALB,2015,40.69
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ2,dcid:country/ALB,2009,6.22
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH,dcid:country/ALB,2015,12.45819
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH,dcid:country/ALB,2009,11.99
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ5,dcid:country/ARM,2013,8.50399
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ5,dcid:country/ARM,2021,10.34367
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ARM,2020,47.96657
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ARM,2014,49.52493
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ4,dcid:country/ARM,2014,7.1155
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ARM,2011,41.91907
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ4,dcid:country/ARM,2013,8.05242
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ5,dcid:country/ARM,2011,6.78665
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ5,dcid:country/ARM,2016,11.5618
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ3,dcid:country/ARM,2016,17.74661
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ARM,2019,43.18607
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ4,dcid:country/ARM,2020,4.08053
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ARM,2016,56.66582
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ5,dcid:country/ARM,2019,10.67022
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ2,dcid:country/ARM,2011,17.98614
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ3,dcid:country/ARM,2013,10.48158
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ2,dcid:country/ARM,2014,36.73958
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ5,dcid:country/ARM,2012,5.78083
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ3,dcid:country/ARM,2021,9.61841
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ3,dcid:country/ARM,2012,10.57163
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ARM,2021,42.90134
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ARM,2013,32.82061
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ4,dcid:country/ARM,2021,6.49247
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ1,dcid:country/ARM,2012,36.59296
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ2,dcid:country/ARM,2016,32.18007
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ3,dcid:country/ARM,2020,4.32364
dcs:who/FINPROTECTION_CATA_CTPFHU_40_HH.WEALTHQUINTILE--WQ2,dcid:country/ARM,2012,19.01599
