SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:Earth,2019,13.46
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:Earth,2000,9.57
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:Earth,2010,11.38
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:Earth,2015,12.65
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:Earth,2005,11.13
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:Earth,2017,13.02
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,9.8
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,10.37
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,9.85
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,9.78
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,9.07
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,10.16
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:SouthEasternAsia,2005,12.99
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:SouthEasternAsia,2010,13.06
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:SouthEasternAsia,2015,15.07
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:SouthEasternAsia,2019,16.14
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:SouthEasternAsia,2000,12.66
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:SouthEasternAsia,2017,15.0
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:SubSaharanAfrica,2005,9.52
dcs:who/FINPROTECTION_CATA_TOT_10_LEVEL_SH,dcid:SubSaharanAfrica,2000,7.99
