SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:Earth,2005,170.33
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:Earth,2017,275.56
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:Earth,2015,244.81
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:Earth,2019,291.98
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:Earth,2000,116.85
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:Earth,2010,189.79
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,9.05
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,10.82
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,11.4
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,12.55
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,10.03
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,10.57
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SouthEasternAsia,2000,44.08
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SouthEasternAsia,2010,58.5
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SouthEasternAsia,2019,119.17
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SouthEasternAsia,2017,110.53
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SouthEasternAsia,2015,95.44
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SouthEasternAsia,2005,50.79
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SubSaharanAfrica,2010,17.39
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SubSaharanAfrica,2000,9.32
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SubSaharanAfrica,2019,28.84
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SubSaharanAfrica,2015,18.9
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,20.14
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:SubSaharanAfrica,2017,20.99
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:africa,2019,28.65
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:africa,2017,20.23
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:africa,2000,9.24
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:africa,2010,16.67
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:africa,2015,18.18
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:africa,2005,20.0
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:asia,2000,86.32
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:asia,2019,231.0
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:asia,2017,223.88
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:asia,2015,196.93
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:asia,2005,126.29
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:asia,2010,148.43
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:europe,2010,8.55
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:europe,2019,12.04
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:europe,2015,10.33
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:europe,2000,7.62
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:europe,2017,11.48
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:europe,2005,8.68
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:northamerica,2015,2.66
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:northamerica,2019,2.74
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:northamerica,2010,2.64
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:northamerica,2005,3.01
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:northamerica,2000,3.16
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:northamerica,2017,2.69
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:oceania,2015,0.37
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:oceania,2000,0.21
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:oceania,2010,0.27
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:oceania,2005,0.21
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:oceania,2017,0.36
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:oceania,2019,0.41
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:undata-geo/G00100100,2015,12.99
dcs:who/FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,dcid:undata-geo/G00100100,2000,9.61
