SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/AFG,2013,2.01
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/AFG,2020,8.03
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/AFG,2016,5.61
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/AFG,2016,4.55
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2016,5.95
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2020,9.09
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/AFG,2020,4.7
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/AFG,2007,0.07
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2008,4.0
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2008,4.87
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2018,10.56
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/AGO,2018,12.48
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2018,15.6
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/AGO,2008,4.42
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ALB,2017,1.41
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2005,5.81
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2005,2.82
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ALB,2002,5.64
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2002,6.42
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,5.21
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ALB,2008,4.08
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ALB,1996,2.91
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ALB,2012,4.95
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,2.92
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2012,4.14
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ALB,2005,4.5
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2002,4.54
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2012,5.89
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,1996,3.36
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,1996,2.68
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARE,2019,0.04
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARG,2004,4.7
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARG,2017,2.54
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARG,1996,5.0
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARG,2004,2.97
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ARG,2004,4.84
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2016,5.75
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2013,3.84
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2020,5.49
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2015,3.83
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2014,6.03
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2014,3.2
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2019,8.94
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2021,5.93
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2015,9.95
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2013,5.49
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2012,5.28
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2014,7.73
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2016,6.98
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2012,4.48
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2017,6.0
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2013,4.87
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2016,3.69
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2015,7.58
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2006,6.35
dcs:who/FINPROTECTION_CATA_TOT_25_POP,dcid:country/ARM,2006,5.91
dcs:who/FINPROTECTION_CATA_TOT_25_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2005,6.38
