SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ALB,2015,6.71
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ALB,2009,7.88
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2019,4.98076
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2018,8.70554
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2017,11.80788
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2016,10.93259
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2014,12.68023
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2015,7.36921
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2012,4.66465
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2020,6.86881
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2011,5.80584
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2010,5.99197
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2021,5.01938
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/ARM,2013,3.99296
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/AUT,2015,0.78015
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/AUT,2005,0.39905
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/AUT,2010,0.4452
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BEL,2018,0.63808
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BEL,2012,1.49724
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BEL,2014,1.00847
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BEL,2016,1.47721
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BEL,2020,0.74436
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BGR,2017,4.9783
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BGR,2010,5.62605
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BGR,2018,4.33862
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BGR,2016,4.17122
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BGR,2005,4.91289
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BGR,2015,4.87549
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BIH,2011,3.5451
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BIH,2007,4.03822
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BIH,2015,3.11267
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/BIH,2004,3.58211
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2012,1.29068
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2011,1.10952
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2015,0.829
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2013,0.85186
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2014,0.63636
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2016,1.04508
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2017,1.08375
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2009,1.09699
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2006,1.02505
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2010,1.40301
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2007,1.01784
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CHE,2008,1.00234
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CYP,2015,1.32202
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CYP,2003,0.79775
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CYP,2009,0.48007
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CZE,2017,1.84521
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CZE,2018,1.7704
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/CZE,2019,1.76111
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/DEU,2003,0.46905
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/DEU,2013,0.85435
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/DEU,2018,0.82765
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/DEU,2008,1.26138
dcs:who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,dcid:country/DNK,2015,1.12188
