SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ALB,2015,8.2
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ALB,2009,9.22
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2011,9.06171
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2019,9.25234
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2021,7.85276
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2014,16.30435
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2018,13.25898
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2016,17.14201
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2013,7.78044
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2020,8.99443
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2017,16.69733
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2012,7.57351
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2010,9.80171
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ARM,2015,10.56938
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/AUT,2005,0.56455
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/AUT,2010,0.56729
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/AUT,2015,0.98331
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BEL,2018,0.85637
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BEL,2016,1.88523
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BEL,2020,1.1425
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BEL,2012,2.078
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BEL,2014,1.33144
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BGR,2015,7.60221
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BGR,2018,7.9593
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BGR,2016,7.00588
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BGR,2017,7.45473
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BGR,2005,7.38676
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BGR,2010,8.25205
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BIH,2015,4.28583
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BIH,2007,6.19521
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BIH,2004,5.211
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/BIH,2011,5.18604
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2017,1.46241
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2007,1.34043
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2015,1.03412
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2014,1.18554
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2008,1.37954
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2013,1.16829
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2009,1.48873
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2012,1.6565
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2011,1.35939
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2010,1.6282
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2006,1.19622
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CHE,2016,1.35244
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CYP,2009,0.82849
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CYP,2003,1.30009
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CYP,2015,1.79235
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CZE,2019,2.24561
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CZE,2017,2.20113
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/CZE,2018,2.21043
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/DEU,2003,0.54807
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/DEU,2018,1.00084
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/DEU,2013,1.03353
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/DEU,2008,1.60067
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/DNK,2010,1.33
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/DNK,2015,1.79072
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2012,0.50113
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2011,0.42243
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2009,0.30782
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2019,0.80712
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2006,0.19709
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2020,1.62036
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2010,0.51871
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2018,0.92636
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2017,0.6672
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2014,0.74017
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2015,0.75779
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2016,0.78557
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2007,0.16829
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2008,0.19095
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/ESP,2013,0.53182
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2003,4.69873
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2007,4.4847
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2000,3.41606
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2002,3.56203
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2004,4.40947
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2005,4.3644
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2001,2.84529
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2006,6.1094
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2020,2.21169
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2019,2.54535
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2016,2.7883
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2012,2.64777
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2015,2.56433
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2010,3.41714
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/EST,2011,2.56626
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/FIN,2012,1.15254
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/FIN,2006,0.97915
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/FIN,2016,1.1675
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/FRA,2011,1.41098
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/FRA,2017,1.49179
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/GBR,2019,0.72516
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/GBR,2009,0.71
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/GBR,2017,0.74259
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/GBR,2013,0.77013
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/GBR,2016,0.91161
dcs:who/FINPROTECTION_IMP_BNLFHU_TOT_HH,dcid:country/GBR,2012,0.89148
