SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AFG,2020,6.05
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AFG,2013,4.4
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AFG,2020,2.07
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2020,7.33
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AFG,2007,0.37
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2018,4.43
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AGO,2018,5.18
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2018,6.39
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AGO,2008,1.22
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2008,1.27
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2008,1.18
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2012,0.34
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ALB,2017,0.08
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,0.02
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ALB,2012,0.26
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ALB,2008,0.01
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2012,0.16
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2005,0.47
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ALB,2002,0.73
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2005,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ALB,2005,0.26
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2002,0.3
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2002,1.04
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,1996,0.3
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,1996,0.74
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ALB,1996,0.59
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2021,0.21
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2020,2.38
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2019,0.9
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2017,0.94
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2015,0.27
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2016,0.44
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2016,0.24
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2016,0.32
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2015,0.29
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2014,0.43
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2014,0.29
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2014,0.34
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2015,0.31
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2013,0.15
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2013,0.15
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2013,0.15
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2011,0.19
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2011,0.4
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2012,0.16
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2012,0.11
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2011,0.26
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2012,0.18
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2010,0.76
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2010,0.59
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2010,0.29
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2009,0.18
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2009,0.02
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2009,0.27
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2008,0.11
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2007,0.21
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2008,0.09
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2008,0.15
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2006,0.48
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2006,0.45
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2007,0.25
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2007,0.32
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2006,0.47
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2004,0.45
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2005,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2005,0.22
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2005,0.34
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2002,1.49
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2003,0.9
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,2001,1.91
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2003,0.69
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2003,1.2
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/ARM,1999,1.94
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AUS,2009,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AUS,2009,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AUS,2009,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AUT,1999,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AZE,2005,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AZE,2005,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2004,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2005,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AZE,2004,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AZE,2004,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AZE,2003,0.02
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/AZE,2002,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AZE,2002,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/AZE,2003,0.04
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2003,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2002,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/BDI,2013,1.4
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2013,1.43
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/BDI,2013,1.1
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/BDI,2006,3.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/BDI,1998,0.77
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2006,2.87
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/BDI,2006,2.87
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/BDI,1998,1.29
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/BDI,1998,0.79
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/BEL,2009,0.0
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/BEN,2018,2.24
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/BEN,2018,3.32
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/BEN,2018,4.19
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/BEN,2015,1.58
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/BEN,2015,1.54
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/BEN,2015,1.61
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/BEN,2011,2.41
dcs:who/FINPROTECTION_IMP_NP215_POP,dcid:country/BEN,2003,2.83
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--URB,dcid:country/BEN,2003,2.91
dcs:who/FINPROTECTION_IMP_NP215_POP.RESIDENCEAREATYPE--RUR,dcid:country/BEN,2003,2.79
