SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2020,7.79
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/AFG,2020,6.5
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/AFG,2016,0.66
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2016,4.19
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/AFG,2016,3.35
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/AFG,2013,3.08
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/AFG,2020,2.47
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/AFG,2007,1.79
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/AGO,2018,5.14
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2018,4.43
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2018,6.28
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/AGO,2008,1.55
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2008,1.64
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/AGO,2008,1.46
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ALB,2017,1.84
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ALB,2012,2.51
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,2.34
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2012,2.39
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2012,2.65
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2005,4.93
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ALB,2005,3.67
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2005,2.06
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,1.74
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ALB,2008,2.04
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ALB,2002,4.29
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,1996,0.93
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ALB,2002,1.99
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2002,5.94
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ALB,1996,1.91
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ALB,1996,1.57
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARG,1996,2.04
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARG,2004,1.96
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARG,2004,2.14
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARG,2004,1.98
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2020,2.85
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2019,4.13
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2021,3.49
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2017,3.63
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2016,3.55
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2016,3.95
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2016,2.89
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2015,3.34
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2015,3.66
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2015,2.84
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2014,3.71
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2014,3.14
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2014,2.19
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2013,2.54
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2013,2.69
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2013,2.29
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2012,1.78
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2012,2.32
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2012,2.13
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2011,2.09
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2011,1.87
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2011,2.22
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2010,2.66
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2010,2.53
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2010,2.3
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2008,1.15
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2009,0.82
dcs:who/FINPROTECTION_IMP_NPRELPL_POP,dcid:country/ARM,2009,1.46
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2009,1.81
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2008,0.54
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2008,1.49
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2006,0.85
dcs:who/FINPROTECTION_IMP_NPRELPL_POP.RESIDENCEAREATYPE--URB,dcid:country/ARM,2006,1.2
