SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:Earth,2017,156.93
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:Earth,2010,138.44
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:Earth,2005,126.88
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:Earth,2015,155.58
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:Earth,2000,80.84
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:Earth,2019,118.2
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,6.8
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,7.91
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,4.03
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,3.47
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,3.19
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,5.25
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:SouthEasternAsia,2010,56.43
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:SouthEasternAsia,2017,81.12
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:SouthEasternAsia,2005,48.63
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:SouthEasternAsia,2015,76.24
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:SouthEasternAsia,2019,72.34
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:SouthEasternAsia,2000,22.96
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:SubSaharanAfrica,2010,13.39
dcs:who/FINPROTECTION_IMP_NP_310_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,12.52
