SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:Earth,2019,1.81
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:Earth,2010,2.03
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:Earth,2017,2.15
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:Earth,2015,2.17
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:Earth,2000,1.33
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:Earth,2005,1.91
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,0.64
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,0.66
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,1.65
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,1.0
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,1.21
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,0.59
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SouthEasternAsia,2017,4.01
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SouthEasternAsia,2005,2.75
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SouthEasternAsia,2010,3.13
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SouthEasternAsia,2000,1.52
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SouthEasternAsia,2015,3.91
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SouthEasternAsia,2019,3.99
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SubSaharanAfrica,2019,1.49
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SubSaharanAfrica,2005,1.73
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SubSaharanAfrica,2010,1.68
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SubSaharanAfrica,2017,1.43
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SubSaharanAfrica,2015,1.56
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:SubSaharanAfrica,2000,1.12
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:africa,2000,1.66
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:africa,2015,1.95
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:africa,2005,2.45
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:africa,2019,2.05
dcs:who/FINPROTECTION_IMP_NP_365_LEVEL_SH,dcid:africa,2010,2.06
