SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:Earth,2017,152.74
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:Earth,2005,117.87
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:Earth,2015,148.85
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:Earth,2000,87.63
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:Earth,2010,129.66
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:Earth,2019,173.68
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,13.07
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,12.63
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,7.76
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,8.11
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,9.0
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,10.95
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SouthEasternAsia,2010,46.46
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SouthEasternAsia,2017,48.56
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SouthEasternAsia,2005,29.88
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SouthEasternAsia,2015,50.13
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SouthEasternAsia,2019,69.93
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SouthEasternAsia,2000,26.86
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,12.91
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SubSaharanAfrica,2015,16.47
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_MILLION,dcid:SubSaharanAfrica,2019,20.05
