SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:Earth,2019,2.24
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:Earth,2010,1.86
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:Earth,2017,2.01
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:Earth,2015,2.01
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:Earth,2000,1.43
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:Earth,2005,1.8
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,2.06
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,1.49
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,1.53
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,1.45
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,1.95
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,1.76
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SouthEasternAsia,2019,3.46
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SouthEasternAsia,2015,2.59
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SouthEasternAsia,2017,2.45
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SouthEasternAsia,2000,1.7
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SouthEasternAsia,2005,1.75
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SouthEasternAsia,2010,2.55
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SubSaharanAfrica,2015,1.69
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SubSaharanAfrica,2005,1.75
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SubSaharanAfrica,2019,1.86
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SubSaharanAfrica,2017,1.71
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SubSaharanAfrica,2010,1.64
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:SubSaharanAfrica,2000,1.55
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:africa,2019,2.12
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:africa,2010,1.96
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:africa,2000,1.71
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:africa,2005,1.98
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:africa,2015,2.06
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:africa,2017,2.15
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:asia,2010,1.98
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:asia,2015,2.13
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:asia,2005,2.01
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:asia,2000,1.49
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:asia,2017,2.09
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:asia,2019,2.57
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:europe,2010,2.27
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:europe,2000,1.38
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:europe,2005,1.55
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:europe,2019,1.9
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:europe,2015,2.46
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:europe,2017,2.34
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:northamerica,2015,0.0
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:northamerica,2019,0.0
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:northamerica,2000,0.0
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:northamerica,2005,0.0
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:northamerica,2010,0.0
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:northamerica,2017,0.0
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:oceania,2017,2.06
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:oceania,2010,1.51
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:oceania,2000,1.4
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:oceania,2015,1.75
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:oceania,2019,1.95
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:oceania,2005,1.46
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100100,2005,0.97
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100100,2000,0.88
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100100,2019,1.3
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100100,2010,1.37
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100100,2017,1.49
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100100,2015,1.51
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100400,2010,1.61
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100400,2000,1.42
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100400,2017,1.9
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100400,2005,1.48
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100400,2019,1.88
dcs:who/FINPROTECTION_IMP_NP_REL_LEVEL_SH,dcid:undata-geo/G00100400,2015,1.83
