SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:Earth,2019,300.1
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:Earth,2010,808.53
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:Earth,2015,515.51
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:Earth,2005,1005.9
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:Earth,2017,386.26
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:Earth,2000,1276.14
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,19.21
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,13.1
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,36.08
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,5.79
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,4.43
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,6.07
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SouthEasternAsia,2010,361.79
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SouthEasternAsia,2015,203.3
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SouthEasternAsia,2005,445.42
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SouthEasternAsia,2017,134.12
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SouthEasternAsia,2000,482.03
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SouthEasternAsia,2019,102.24
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SubSaharanAfrica,2000,304.38
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SubSaharanAfrica,2015,224.49
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SubSaharanAfrica,2019,154.56
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SubSaharanAfrica,2010,256.82
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,247.37
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:SubSaharanAfrica,2017,180.69
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:africa,2005,258.5
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:africa,2015,228.8
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:africa,2010,263.47
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:africa,2017,184.95
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:africa,2000,314.4
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:africa,2019,161.32
dcs:who/FINPROTECTION_IMP_P190_LEVEL_MILLION,dcid:asia,2010,530.67
