SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:Earth,2015,19.49
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:Earth,2019,13.09
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:Earth,2000,39.38
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:Earth,2017,15.68
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:Earth,2010,26.45
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:Earth,2005,30.65
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,4.79
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,5.2
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,10.78
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,6.25
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,3.57
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,9.93
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SouthEasternAsia,2005,51.14
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SouthEasternAsia,2017,21.82
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SouthEasternAsia,2019,19.73
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SouthEasternAsia,2015,30.65
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SouthEasternAsia,2010,47.21
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SouthEasternAsia,2000,58.76
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SubSaharanAfrica,2005,51.44
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SubSaharanAfrica,2015,45.59
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SubSaharanAfrica,2017,40.8
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SubSaharanAfrica,2000,63.04
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SubSaharanAfrica,2010,47.11
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:SubSaharanAfrica,2019,32.2
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:africa,2015,39.41
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:africa,2019,29.13
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:africa,2010,41.12
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:africa,2017,35.31
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:africa,2000,55.78
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:africa,2005,46.32
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:asia,2019,12.84
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:asia,2010,32.67
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:asia,2005,38.13
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:asia,2000,51.02
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:asia,2017,15.87
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:asia,2015,21.18
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:europe,2019,0.11
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:europe,2010,0.13
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:europe,2000,2.05
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:europe,2017,0.12
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:europe,2015,0.14
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:europe,2005,0.77
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:northamerica,2019,0.05
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:northamerica,2015,0.05
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:northamerica,2005,0.02
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:northamerica,2017,0.05
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:northamerica,2000,0.06
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:northamerica,2010,0.03
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:oceania,2017,2.98
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:oceania,2010,5.53
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:oceania,2015,2.9
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:oceania,2005,11.43
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:oceania,2019,3.07
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:oceania,2000,3.31
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100100,2017,0.02
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100100,2015,0.03
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100100,2005,0.01
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100100,2019,0.03
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100100,2010,0.02
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100100,2000,0.02
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100400,2017,6.88
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100400,2005,4.8
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100400,2000,6.06
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100400,2015,9.11
dcs:who/FINPROTECTION_IMP_P310_LEVEL_SH,dcid:undata-geo/G00100400,2010,15.01
