SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/AFG,2020,2.35
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/AFG,2020,4.2
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/AFG,2007,0.63
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2020,4.79
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/AFG,2013,2.83
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/AGO,2018,4.04
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2018,4.14
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/AGO,2018,4.08
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/AGO,2008,1.45
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/AGO,2008,1.46
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2008,1.46
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ALB,2017,0.15
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2012,0.35
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ALB,2012,0.29
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,0.31
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ALB,2012,0.32
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,0.17
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ALB,2005,0.63
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ALB,2005,0.36
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ALB,2008,0.24
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2005,0.84
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ALB,2002,0.59
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ALB,2002,0.94
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ALB,1996,0.68
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2002,1.2
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ALB,1996,0.86
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ALB,1996,0.34
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2019,1.07
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2020,1.51
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2021,0.48
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2016,0.52
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2016,0.54
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2016,0.56
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2017,0.93
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2015,0.37
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2015,0.52
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2015,0.43
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2014,0.65
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2014,0.62
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2013,0.34
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2013,0.53
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2013,0.46
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2014,0.57
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2012,0.43
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2012,0.49
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2012,0.33
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2011,0.55
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2011,0.44
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2011,0.51
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2010,0.71
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2010,0.54
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2010,0.81
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2009,0.23
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2009,0.34
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2009,0.41
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2007,0.21
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2008,0.19
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2008,0.13
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2007,0.22
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2008,0.23
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2006,0.3
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2006,0.39
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2007,0.19
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2006,0.44
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2005,0.34
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2005,0.31
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2004,0.73
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2005,0.36
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2003,0.9
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/ARM,2003,0.7
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2003,1.19
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2002,1.21
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,2001,1.75
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/ARM,1999,1.71
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--URB,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_PG_310_STD.RESIDENCEAREATYPE--RUR,dcid:country/AUS,2015,0.0
dcs:who/FINPROTECTION_IMP_PG_310_STD,dcid:country/AUS,2009,0.0
