SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:Earth,2017,383.24
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:Earth,2000,1249.94
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:Earth,2019,289.03
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:Earth,2010,825.03
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:Earth,2015,514.82
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:Earth,2005,1039.94
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2017,5.35
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2000,32.56
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2019,8.28
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2015,7.19
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2005,22.83
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:LatinAmericaAndCaribbean,2010,14.08
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SouthEasternAsia,2019,95.64
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SouthEasternAsia,2017,138.2
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SouthEasternAsia,2015,206.14
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SouthEasternAsia,2005,457.1
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SouthEasternAsia,2010,369.62
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SouthEasternAsia,2000,460.14
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2010,237.89
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2005,237.39
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2000,287.47
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2019,143.74
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2017,162.5
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:SubSaharanAfrica,2015,203.84
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:africa,2005,248.91
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:africa,2017,167.65
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:africa,2015,209.08
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:africa,2000,297.25
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:africa,2010,245.47
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:africa,2019,151.22
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:asia,2019,127.72
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:asia,2010,564.36
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:asia,2000,916.89
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:asia,2015,297.89
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:asia,2005,764.69
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:asia,2017,209.32
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:europe,2000,2.62
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:europe,2010,0.21
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:europe,2005,0.68
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:europe,2015,0.14
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:europe,2019,1.24
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:europe,2017,0.28
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:northamerica,2015,0.07
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:northamerica,2017,0.15
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:northamerica,2010,0.05
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:northamerica,2000,0.06
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:northamerica,2005,0.07
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:northamerica,2019,0.15
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:oceania,2019,0.28
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:oceania,2005,2.4
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:oceania,2010,0.47
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:oceania,2017,0.28
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:oceania,2015,0.21
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:oceania,2000,0.28
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2017,0.15
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2010,0.06
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2005,0.07
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2000,0.06
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2015,0.08
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100100,2019,0.15
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2005,11.96
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2000,23.05
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2019,16.82
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2015,68.47
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2017,43.9
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100400,2010,156.38
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2017,205.18
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2015,280.71
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2019,170.16
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2005,339.34
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2010,451.2
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100500,2000,341.31
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100600,2017,133.85
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100600,2000,883.26
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100600,2015,165.35
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100600,2010,214.37
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100600,2005,685.61
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00100600,2019,101.76
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00103000,2017,13.94
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00103000,2019,15.05
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00103000,2015,8.24
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00103000,2005,14.34
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00103000,2010,11.59
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00103000,2000,12.44
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00116000,2019,105.63
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00116000,2017,131.49
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00116000,2000,472.62
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00116000,2010,364.99
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00116000,2015,206.63
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00116000,2005,411.89
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00117000,2019,5.61
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00117000,2017,4.57
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00117000,2015,4.42
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00117000,2000,11.02
dcs:who/FINPROTECTION_IMP_P_215_LEVEL_MILLION,dcid:undata-geo/G00117000,2010,7.22
