SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:Earth,2005,31.23
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:Earth,2015,20.08
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:Earth,2010,27.11
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:Earth,2000,38.37
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:Earth,2019,13.67
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:Earth,2017,16.33
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2019,6.52
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2017,4.24
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2015,5.38
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2010,6.94
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2000,10.43
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:LatinAmericaAndCaribbean,2005,10.94
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SouthEasternAsia,2017,23.05
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SouthEasternAsia,2015,31.45
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SouthEasternAsia,2010,48.28
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SouthEasternAsia,2019,20.39
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SouthEasternAsia,2005,52.06
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SouthEasternAsia,2000,58.35
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SubSaharanAfrica,2019,31.6
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SubSaharanAfrica,2000,59.28
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SubSaharanAfrica,2010,44.9
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SubSaharanAfrica,2005,50.11
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SubSaharanAfrica,2017,38.14
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:SubSaharanAfrica,2015,43.43
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:africa,2015,38.02
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:africa,2017,33.52
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:africa,2000,51.98
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:africa,2005,45.32
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:africa,2019,29.22
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:africa,2010,39.56
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:asia,2019,13.6
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:asia,2000,49.9
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:asia,2005,39.28
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:asia,2015,22.46
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:asia,2017,17.37
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:asia,2010,34.07
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:europe,2017,0.17
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:europe,2005,0.85
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:europe,2019,0.08
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:europe,2010,0.15
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:europe,2015,0.12
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:europe,2000,3.17
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:northamerica,2019,0.05
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:northamerica,2015,0.05
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:northamerica,2017,0.05
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:northamerica,2010,0.03
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:northamerica,2005,0.03
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:northamerica,2000,0.06
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:oceania,2017,2.93
dcs:who/FINPROTECTION_IMP_P_365_LEVEL_SH,dcid:oceania,2019,4.31
