SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GASPRSAZM,dcid:country/ARE,2018,0.0
dcs:who/GASPRSAZM,dcid:country/ARE,2017,0.0
dcs:who/GASPRSAZM,dcid:country/ARG,2015,5.90659
dcs:who/GASPRSAZM,dcid:country/ARG,2017,3.0
dcs:who/GASPRSAZM,dcid:country/ARG,2011,0.0
dcs:who/GASPRSAZM,dcid:country/ARG,2020,3.9
dcs:who/GASPRSAZM,dcid:country/ARG,2016,4.5134
dcs:who/GASPRSAZM,dcid:country/ARG,2009,0.0
dcs:who/GASPRSAZM,dcid:country/ARG,2018,5.5
dcs:who/GASPRSAZM,dcid:country/ARG,2013,0.49505
dcs:who/GASPRSAZM,dcid:country/AUS,2014,2.4771
dcs:who/GASPRSAZM,dcid:country/AUS,2017,9.26611
dcs:who/GASPRSAZM,dcid:country/AUS,2020,3.9
dcs:who/GASPRSAZM,dcid:country/AUS,2011,1.0716
dcs:who/GASPRSAZM,dcid:country/AUS,2012,1.33531
dcs:who/GASPRSAZM,dcid:country/AUS,2015,2.55036
dcs:who/GASPRSAZM,dcid:country/AUS,2016,4.98589
dcs:who/GASPRSAZM,dcid:country/AUS,2013,2.12375
dcs:who/GASPRSAZM,dcid:country/AUS,2018,6.22918
dcs:who/GASPRSAZM,dcid:country/AUT,2014,1.9802
dcs:who/GASPRSAZM,dcid:country/AUT,2016,4.6875
dcs:who/GASPRSAZM,dcid:country/AUT,2017,3.8
dcs:who/GASPRSAZM,dcid:country/AUT,2009,28.84615
dcs:who/GASPRSAZM,dcid:country/AUT,2013,5.50459
dcs:who/GASPRSAZM,dcid:country/AUT,2018,14.2
dcs:who/GASPRSAZM,dcid:country/AUT,2015,3.27869
dcs:who/GASPRSAZM,dcid:country/AUT,2012,2.80374
dcs:who/GASPRSAZM,dcid:country/AUT,2011,12.26415
dcs:who/GASPRSAZM,dcid:country/AUT,2020,13.5
dcs:who/GASPRSAZM,dcid:country/AUT,2010,10.0
dcs:who/GASPRSAZM,dcid:country/BEL,2014,3.57143
dcs:who/GASPRSAZM,dcid:country/BEL,2009,14.54545
dcs:who/GASPRSAZM,dcid:country/BEL,2017,12.2
dcs:who/GASPRSAZM,dcid:country/BEL,2020,17.6
dcs:who/GASPRSAZM,dcid:country/BEL,2015,3.0303
dcs:who/GASPRSAZM,dcid:country/BEL,2010,2.72727
dcs:who/GASPRSAZM,dcid:country/BEL,2013,1.81818
dcs:who/GASPRSAZM,dcid:country/BEL,2012,1.86916
dcs:who/GASPRSAZM,dcid:country/BEL,2018,14.4
dcs:who/GASPRSAZM,dcid:country/BEL,2011,3.63636
dcs:who/GASPRSAZM,dcid:country/BEL,2016,9.09091
dcs:who/GASPRSAZM,dcid:country/BFA,2019,3.9
dcs:who/GASPRSAZM,dcid:country/BLR,2013,0.0
dcs:who/GASPRSAZM,dcid:country/BLR,2010,11.53846
dcs:who/GASPRSAZM,dcid:country/BLR,2009,17.5
dcs:who/GASPRSAZM,dcid:country/BLR,2018,0.0
dcs:who/GASPRSAZM,dcid:country/BLR,2019,3.4
dcs:who/GASPRSAZM,dcid:country/BLR,2012,1.33333
dcs:who/GASPRSAZM,dcid:country/BLR,2017,0.0
dcs:who/GASPRSAZM,dcid:country/BRA,2020,8.1
dcs:who/GASPRSAZM,dcid:country/BRA,2009,0.83333
dcs:who/GASPRSAZM,dcid:country/BRA,2016,6.90909
dcs:who/GASPRSAZM,dcid:country/BRN,2016,3.63636
dcs:who/GASPRSAZM,dcid:country/BRN,2019,3.6
dcs:who/GASPRSAZM,dcid:country/BTN,2018,0.0
dcs:who/GASPRSAZM,dcid:country/BTN,2012,0.0
dcs:who/GASPRSAZM,dcid:country/BTN,2014,4.8048
dcs:who/GASPRSAZM,dcid:country/BTN,2016,0.63898
dcs:who/GASPRSAZM,dcid:country/BTN,2015,1.45228
dcs:who/GASPRSAZM,dcid:country/BTN,2013,0.0
dcs:who/GASPRSAZM,dcid:country/BTN,2017,0.0
dcs:who/GASPRSAZM,dcid:country/BTN,2020,0.0
dcs:who/GASPRSAZM,dcid:country/CAN,2017,11.82283
dcs:who/GASPRSAZM,dcid:country/CAN,2013,1.15806
dcs:who/GASPRSAZM,dcid:country/CAN,2018,6.85239
dcs:who/GASPRSAZM,dcid:country/CAN,2020,6.1
dcs:who/GASPRSAZM,dcid:country/CAN,2010,1.24579
dcs:who/GASPRSAZM,dcid:country/CAN,2015,4.72554
dcs:who/GASPRSAZM,dcid:country/CAN,2012,0.85639
dcs:who/GASPRSAZM,dcid:country/CAN,2014,3.33421
dcs:who/GASPRSAZM,dcid:country/CAN,2016,7.18378
dcs:who/GASPRSAZM,dcid:country/CAN,2011,0.3869
dcs:who/GASPRSAZM,dcid:country/CHE,2020,11.1
dcs:who/GASPRSAZM,dcid:country/CHE,2018,28.37838
dcs:who/GASPRSAZM,dcid:country/CHE,2017,18.75
dcs:who/GASPRSAZM,dcid:country/CHL,2011,4.97981
dcs:who/GASPRSAZM,dcid:country/CHL,2016,4.34183
dcs:who/GASPRSAZM,dcid:country/CHL,2010,0.5291
dcs:who/GASPRSAZM,dcid:country/CHL,2009,45.57235
dcs:who/GASPRSAZM,dcid:country/CHL,2012,7.95306
dcs:who/GASPRSAZM,dcid:country/CHL,2015,3.33333
dcs:who/GASPRSAZM,dcid:country/CHL,2018,5.0
dcs:who/GASPRSAZM,dcid:country/CHL,2020,10.2
dcs:who/GASPRSAZM,dcid:country/CHN,2015,19.24198
dcs:who/GASPRSAZM,dcid:country/CHN,2017,14.51832
dcs:who/GASPRSAZM,dcid:country/CHN,2020,14.6
dcs:who/GASPRSAZM,dcid:country/CHN,2010,0.0
dcs:who/GASPRSAZM,dcid:country/CIV,2013,13.88889
dcs:who/GASPRSAZM,dcid:country/CIV,2014,11.5942
dcs:who/GASPRSAZM,dcid:country/CIV,2018,0.0
dcs:who/GASPRSAZM,dcid:country/CIV,2016,2.0
