SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GASPRSCFM,dcid:country/ARE,2017,0.0
dcs:who/GASPRSCFM,dcid:country/ARE,2018,0.0
dcs:who/GASPRSCFM,dcid:country/ARG,2016,0.0
dcs:who/GASPRSCFM,dcid:country/ARG,2015,0.13736
dcs:who/GASPRSCFM,dcid:country/ARG,2017,0.0
dcs:who/GASPRSCFM,dcid:country/ARG,2018,0.0
dcs:who/GASPRSCFM,dcid:country/AUT,2009,21.15385
dcs:who/GASPRSCFM,dcid:country/AUT,2011,13.20755
dcs:who/GASPRSCFM,dcid:country/AUT,2018,3.4
dcs:who/GASPRSCFM,dcid:country/AUT,2010,22.72727
dcs:who/GASPRSCFM,dcid:country/AUT,2017,3.8
dcs:who/GASPRSCFM,dcid:country/AUT,2014,0.9901
dcs:who/GASPRSCFM,dcid:country/AUT,2016,4.16667
dcs:who/GASPRSCFM,dcid:country/AUT,2012,4.6729
dcs:who/GASPRSCFM,dcid:country/AUT,2015,0.0
dcs:who/GASPRSCFM,dcid:country/AUT,2013,6.42202
dcs:who/GASPRSCFM,dcid:country/BEL,2017,2.0
dcs:who/GASPRSCFM,dcid:country/BEL,2015,11.11111
dcs:who/GASPRSCFM,dcid:country/BEL,2014,12.14286
dcs:who/GASPRSCFM,dcid:country/BEL,2009,6.36364
dcs:who/GASPRSCFM,dcid:country/BEL,2012,0.93458
dcs:who/GASPRSCFM,dcid:country/BEL,2018,2.9
dcs:who/GASPRSCFM,dcid:country/BEL,2013,6.36364
dcs:who/GASPRSCFM,dcid:country/BEL,2011,0.90909
dcs:who/GASPRSCFM,dcid:country/BEL,2010,3.63636
dcs:who/GASPRSCFM,dcid:country/BEL,2016,8.08081
dcs:who/GASPRSCFM,dcid:country/BLR,2009,0.0
dcs:who/GASPRSCFM,dcid:country/BLR,2012,0.0
dcs:who/GASPRSCFM,dcid:country/BLR,2013,2.5
dcs:who/GASPRSCFM,dcid:country/BLR,2018,15.8
dcs:who/GASPRSCFM,dcid:country/BLR,2010,0.0
dcs:who/GASPRSCFM,dcid:country/BLR,2017,22.2
dcs:who/GASPRSCFM,dcid:country/BRA,2016,0.0
dcs:who/GASPRSCFM,dcid:country/BTN,2015,0.0
dcs:who/GASPRSCFM,dcid:country/CAN,2009,1.12685
dcs:who/GASPRSCFM,dcid:country/CAN,2018,0.54452
dcs:who/GASPRSCFM,dcid:country/CAN,2010,3.29966
dcs:who/GASPRSCFM,dcid:country/CAN,2015,1.90931
dcs:who/GASPRSCFM,dcid:country/CAN,2014,1.10265
dcs:who/GASPRSCFM,dcid:country/CAN,2012,2.23979
dcs:who/GASPRSCFM,dcid:country/CAN,2017,0.6812
dcs:who/GASPRSCFM,dcid:country/CAN,2013,1.75274
dcs:who/GASPRSCFM,dcid:country/CAN,2011,4.16667
dcs:who/GASPRSCFM,dcid:country/CAN,2016,0.30851
dcs:who/GASPRSCFM,dcid:country/CHE,2018,5.55556
dcs:who/GASPRSCFM,dcid:country/CHE,2017,0.0
dcs:who/GASPRSCFM,dcid:country/CHL,2018,0.0
dcs:who/GASPRSCFM,dcid:country/CHL,2016,0.0
dcs:who/GASPRSCFM,dcid:country/CIV,2016,0.0
dcs:who/GASPRSCFM,dcid:country/CIV,2017,0.0
dcs:who/GASPRSCFM,dcid:country/CIV,2014,0.0
dcs:who/GASPRSCFM,dcid:country/CIV,2015,0.0
dcs:who/GASPRSCFM,dcid:country/CIV,2018,0.0
dcs:who/GASPRSCFM,dcid:country/COL,2018,0.0
dcs:who/GASPRSCFM,dcid:country/COL,2017,0.0
dcs:who/GASPRSCFM,dcid:country/CUB,2018,0.0
dcs:who/GASPRSCFM,dcid:country/CUB,2017,0.0
dcs:who/GASPRSCFM,dcid:country/CYP,2017,0.0
dcs:who/GASPRSCFM,dcid:country/CYP,2015,0.0
dcs:who/GASPRSCFM,dcid:country/CYP,2018,20.0
dcs:who/GASPRSCFM,dcid:country/CYP,2014,0.0
dcs:who/GASPRSCFM,dcid:country/CYP,2010,50.0
