SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GASPRSCIP,dcid:country/ARE,2018,28.57143
dcs:who/GASPRSCIP,dcid:country/ARE,2017,77.61194
dcs:who/GASPRSCIP,dcid:country/ARG,2009,22.90323
dcs:who/GASPRSCIP,dcid:country/ARG,2016,70.80395
dcs:who/GASPRSCIP,dcid:country/ARG,2018,73.3
dcs:who/GASPRSCIP,dcid:country/ARG,2017,73.1
dcs:who/GASPRSCIP,dcid:country/ARG,2013,53.9604
dcs:who/GASPRSCIP,dcid:country/ARG,2010,26.89873
dcs:who/GASPRSCIP,dcid:country/ARG,2011,47.86325
dcs:who/GASPRSCIP,dcid:country/ARG,2014,61.41384
dcs:who/GASPRSCIP,dcid:country/ARG,2012,49.0099
dcs:who/GASPRSCIP,dcid:country/ARG,2015,66.34615
dcs:who/GASPRSCIP,dcid:country/AUS,2016,29.97805
dcs:who/GASPRSCIP,dcid:country/AUS,2010,34.65099
dcs:who/GASPRSCIP,dcid:country/AUS,2009,42.54658
dcs:who/GASPRSCIP,dcid:country/AUS,2012,30.26706
dcs:who/GASPRSCIP,dcid:country/AUS,2017,27.49202
dcs:who/GASPRSCIP,dcid:country/AUS,2011,27.56941
dcs:who/GASPRSCIP,dcid:country/AUS,2014,36.42798
dcs:who/GASPRSCIP,dcid:country/AUS,2015,27.22232
dcs:who/GASPRSCIP,dcid:country/AUS,2013,34.18419
dcs:who/GASPRSCIP,dcid:country/AUS,2018,25.89095
dcs:who/GASPRSCIP,dcid:country/AUT,2014,52.47525
dcs:who/GASPRSCIP,dcid:country/AUT,2012,73.83178
dcs:who/GASPRSCIP,dcid:country/AUT,2009,79.80769
dcs:who/GASPRSCIP,dcid:country/AUT,2011,67.92453
dcs:who/GASPRSCIP,dcid:country/AUT,2013,71.55963
dcs:who/GASPRSCIP,dcid:country/AUT,2010,61.81818
dcs:who/GASPRSCIP,dcid:country/AUT,2015,65.57377
dcs:who/GASPRSCIP,dcid:country/AUT,2017,50.0
dcs:who/GASPRSCIP,dcid:country/AUT,2018,56.6
dcs:who/GASPRSCIP,dcid:country/AUT,2016,65.625
dcs:who/GASPRSCIP,dcid:country/BEL,2012,56.07477
dcs:who/GASPRSCIP,dcid:country/BEL,2016,44.44444
dcs:who/GASPRSCIP,dcid:country/BEL,2018,44.4
dcs:who/GASPRSCIP,dcid:country/BEL,2011,55.45455
dcs:who/GASPRSCIP,dcid:country/BEL,2013,56.36364
dcs:who/GASPRSCIP,dcid:country/BEL,2017,46.9
dcs:who/GASPRSCIP,dcid:country/BEL,2015,49.49495
dcs:who/GASPRSCIP,dcid:country/BEL,2010,60.0
dcs:who/GASPRSCIP,dcid:country/BEL,2014,57.85714
dcs:who/GASPRSCIP,dcid:country/BEL,2009,67.27273
dcs:who/GASPRSCIP,dcid:country/BHR,2017,86.66667
dcs:who/GASPRSCIP,dcid:country/BLR,2013,27.5
dcs:who/GASPRSCIP,dcid:country/BLR,2012,21.33333
dcs:who/GASPRSCIP,dcid:country/BLR,2010,0.0
dcs:who/GASPRSCIP,dcid:country/BLR,2017,30.6
dcs:who/GASPRSCIP,dcid:country/BLR,2009,35.0
dcs:who/GASPRSCIP,dcid:country/BLR,2018,36.8
dcs:who/GASPRSCIP,dcid:country/BOL,2009,0.0
dcs:who/GASPRSCIP,dcid:country/BOL,2014,40.0
dcs:who/GASPRSCIP,dcid:country/BRA,2016,55.63636
dcs:who/GASPRSCIP,dcid:country/BRA,2015,100.0
dcs:who/GASPRSCIP,dcid:country/BRA,2009,1.66667
dcs:who/GASPRSCIP,dcid:country/BRN,2012,83.82353
dcs:who/GASPRSCIP,dcid:country/BRN,2010,93.18182
dcs:who/GASPRSCIP,dcid:country/BRN,2011,89.15254
dcs:who/GASPRSCIP,dcid:country/BRN,2009,93.02326
dcs:who/GASPRSCIP,dcid:country/BRN,2013,70.58824
dcs:who/GASPRSCIP,dcid:country/BRN,2016,87.77778
dcs:who/GASPRSCIP,dcid:country/BTN,2017,92.70386
dcs:who/GASPRSCIP,dcid:country/BTN,2018,96.19048
dcs:who/GASPRSCIP,dcid:country/BTN,2012,88.23529
dcs:who/GASPRSCIP,dcid:country/BTN,2009,96.08939
dcs:who/GASPRSCIP,dcid:country/BTN,2013,93.02326
dcs:who/GASPRSCIP,dcid:country/BTN,2014,90.69069
dcs:who/GASPRSCIP,dcid:country/BTN,2015,86.09959
dcs:who/GASPRSCIP,dcid:country/BTN,2016,93.92971
dcs:who/GASPRSCIP,dcid:country/BTN,2010,96.08939
dcs:who/GASPRSCIP,dcid:country/BTN,2011,98.36066
dcs:who/GASPRSCIP,dcid:country/CAN,2010,35.9596
dcs:who/GASPRSCIP,dcid:country/CAN,2013,29.32707
dcs:who/GASPRSCIP,dcid:country/CAN,2012,28.52437
dcs:who/GASPRSCIP,dcid:country/CAN,2016,47.06919
dcs:who/GASPRSCIP,dcid:country/CAN,2014,34.02468
dcs:who/GASPRSCIP,dcid:country/CAN,2011,29.31548
dcs:who/GASPRSCIP,dcid:country/CAN,2015,38.87828
dcs:who/GASPRSCIP,dcid:country/CAN,2018,55.6196
dcs:who/GASPRSCIP,dcid:country/CAN,2009,0.0
dcs:who/GASPRSCIP,dcid:country/CAN,2017,49.45504
dcs:who/GASPRSCIP,dcid:country/CHE,2018,51.04167
dcs:who/GASPRSCIP,dcid:country/CHE,2017,40.54054
dcs:who/GASPRSCIP,dcid:country/CHL,2014,53.29392
dcs:who/GASPRSCIP,dcid:country/CHL,2012,30.89961
dcs:who/GASPRSCIP,dcid:country/CHL,2009,46.2203
dcs:who/GASPRSCIP,dcid:country/CHL,2013,40.96521
dcs:who/GASPRSCIP,dcid:country/CHL,2016,62.41401
dcs:who/GASPRSCIP,dcid:country/CHL,2015,60.33333
dcs:who/GASPRSCIP,dcid:country/CHL,2010,30.11152
dcs:who/GASPRSCIP,dcid:country/CHL,2011,30.95559
dcs:who/GASPRSCIP,dcid:country/CHL,2018,56.4
dcs:who/GASPRSCIP,dcid:country/CHN,2011,99.40697
dcs:who/GASPRSCIP,dcid:country/CHN,2015,97.57046
dcs:who/GASPRSCIP,dcid:country/CHN,2010,79.65839
dcs:who/GASPRSCIP,dcid:country/CHN,2009,100.0
dcs:who/GASPRSCIP,dcid:country/CHN,2012,99.59547
dcs:who/GASPRSCIP,dcid:country/CHN,2017,99.25373
dcs:who/GASPRSCIP,dcid:country/CIV,2018,80.0
dcs:who/GASPRSCIP,dcid:country/CIV,2013,86.11111
dcs:who/GASPRSCIP,dcid:country/CIV,2015,76.81159
dcs:who/GASPRSCIP,dcid:country/CIV,2017,75.5
