SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GASPRSCRO,dcid:country/ARE,2020,1.8
dcs:who/GASPRSCRO,dcid:country/ARE,2018,0.0
dcs:who/GASPRSCRO,dcid:country/ARE,2017,5.88235
dcs:who/GASPRSCRO,dcid:country/ARG,2014,0.14728
dcs:who/GASPRSCRO,dcid:country/ARG,2013,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2010,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2015,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2018,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2016,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2012,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2020,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2017,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2009,0.0
dcs:who/GASPRSCRO,dcid:country/ARG,2011,0.0
dcs:who/GASPRSCRO,dcid:country/AUS,2013,0.57178
dcs:who/GASPRSCRO,dcid:country/AUS,2009,0.03168
dcs:who/GASPRSCRO,dcid:country/AUS,2016,1.709
dcs:who/GASPRSCRO,dcid:country/AUS,2017,0.03829
dcs:who/GASPRSCRO,dcid:country/AUS,2014,0.59256
dcs:who/GASPRSCRO,dcid:country/AUS,2018,0.06662
dcs:who/GASPRSCRO,dcid:country/AUS,2011,0.14613
dcs:who/GASPRSCRO,dcid:country/AUS,2015,0.05544
dcs:who/GASPRSCRO,dcid:country/AUS,2020,0.01
dcs:who/GASPRSCRO,dcid:country/AUS,2010,0.12422
dcs:who/GASPRSCRO,dcid:country/AUS,2012,0.29674
dcs:who/GASPRSCRO,dcid:country/AUT,2011,2.83019
dcs:who/GASPRSCRO,dcid:country/AUT,2017,0.0
dcs:who/GASPRSCRO,dcid:country/AUT,2018,0.0
dcs:who/GASPRSCRO,dcid:country/AUT,2013,0.0
dcs:who/GASPRSCRO,dcid:country/AUT,2015,0.0
dcs:who/GASPRSCRO,dcid:country/AUT,2012,0.0
dcs:who/GASPRSCRO,dcid:country/AUT,2020,0.0
dcs:who/GASPRSCRO,dcid:country/AUT,2010,0.0
dcs:who/GASPRSCRO,dcid:country/AUT,2009,0.0
dcs:who/GASPRSCRO,dcid:country/AUT,2016,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2016,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2020,0.6
dcs:who/GASPRSCRO,dcid:country/BEL,2009,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2017,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2013,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2010,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2015,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2011,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2012,0.0
dcs:who/GASPRSCRO,dcid:country/BEL,2018,0.0
dcs:who/GASPRSCRO,dcid:country/BFA,2019,0.0
dcs:who/GASPRSCRO,dcid:country/BHR,2017,0.0
dcs:who/GASPRSCRO,dcid:country/BHR,2009,0.0
dcs:who/GASPRSCRO,dcid:country/BHR,2020,1.7
dcs:who/GASPRSCRO,dcid:country/BLR,2019,0.0
dcs:who/GASPRSCRO,dcid:country/BLR,2010,0.0
dcs:who/GASPRSCRO,dcid:country/BLR,2009,0.0
dcs:who/GASPRSCRO,dcid:country/BLR,2018,0.0
dcs:who/GASPRSCRO,dcid:country/BLR,2017,0.0
dcs:who/GASPRSCRO,dcid:country/BLR,2012,0.0
dcs:who/GASPRSCRO,dcid:country/BLR,2013,0.0
dcs:who/GASPRSCRO,dcid:country/BLZ,2020,12.5
dcs:who/GASPRSCRO,dcid:country/BOL,2014,80.0
dcs:who/GASPRSCRO,dcid:country/BOL,2009,0.0
dcs:who/GASPRSCRO,dcid:country/BRA,2016,0.0
dcs:who/GASPRSCRO,dcid:country/BRA,2020,0.0
dcs:who/GASPRSCRO,dcid:country/BRA,2009,0.0
dcs:who/GASPRSCRO,dcid:country/BRN,2011,1.01695
dcs:who/GASPRSCRO,dcid:country/BRN,2019,0.0
dcs:who/GASPRSCRO,dcid:country/BRN,2009,0.50505
dcs:who/GASPRSCRO,dcid:country/BRN,2010,0.25707
dcs:who/GASPRSCRO,dcid:country/BTN,2011,2.45902
dcs:who/GASPRSCRO,dcid:country/BTN,2017,0.0
dcs:who/GASPRSCRO,dcid:country/BTN,2014,3.3033
dcs:who/GASPRSCRO,dcid:country/BTN,2018,0.0
dcs:who/GASPRSCRO,dcid:country/BTN,2015,2.90456
dcs:who/GASPRSCRO,dcid:country/BTN,2016,1.27796
dcs:who/GASPRSCRO,dcid:country/BTN,2009,0.0
dcs:who/GASPRSCRO,dcid:country/BTN,2020,1.0
dcs:who/GASPRSCRO,dcid:country/BTN,2010,2.20994
dcs:who/GASPRSCRO,dcid:country/CAN,2018,0.48031
dcs:who/GASPRSCRO,dcid:country/CAN,2012,5.5336
dcs:who/GASPRSCRO,dcid:country/CAN,2017,0.47782
dcs:who/GASPRSCRO,dcid:country/CAN,2015,3.48449
dcs:who/GASPRSCRO,dcid:country/CAN,2020,1.4
dcs:who/GASPRSCRO,dcid:country/CAN,2013,3.50548
dcs:who/GASPRSCRO,dcid:country/CAN,2009,3.09079
dcs:who/GASPRSCRO,dcid:country/CAN,2014,3.25177
