SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GASPRSESC,dcid:country/ARE,2017,5.88235
dcs:who/GASPRSESC,dcid:country/ARE,2018,0.0
dcs:who/GASPRSESC,dcid:country/ARG,2016,0.0
dcs:who/GASPRSESC,dcid:country/ARG,2013,0.0
dcs:who/GASPRSESC,dcid:country/ARG,2015,0.13736
dcs:who/GASPRSESC,dcid:country/ARG,2014,0.14728
dcs:who/GASPRSESC,dcid:country/ARG,2011,0.0
dcs:who/GASPRSESC,dcid:country/ARG,2018,0.0
dcs:who/GASPRSESC,dcid:country/ARG,2009,0.0
dcs:who/GASPRSESC,dcid:country/ARG,2012,0.0
dcs:who/GASPRSESC,dcid:country/ARG,2010,0.0
dcs:who/GASPRSESC,dcid:country/ARG,2017,0.0
dcs:who/GASPRSESC,dcid:country/AUS,2018,0.06662
dcs:who/GASPRSESC,dcid:country/AUS,2015,0.05544
dcs:who/GASPRSESC,dcid:country/AUS,2014,0.59256
dcs:who/GASPRSESC,dcid:country/AUS,2009,0.03168
dcs:who/GASPRSESC,dcid:country/AUS,2011,0.14613
dcs:who/GASPRSESC,dcid:country/AUS,2016,1.709
dcs:who/GASPRSESC,dcid:country/AUS,2010,0.12422
dcs:who/GASPRSESC,dcid:country/AUS,2017,0.03829
dcs:who/GASPRSESC,dcid:country/AUS,2013,0.57178
dcs:who/GASPRSESC,dcid:country/AUS,2012,0.29674
dcs:who/GASPRSESC,dcid:country/AUT,2018,3.4
dcs:who/GASPRSESC,dcid:country/AUT,2012,4.6729
dcs:who/GASPRSESC,dcid:country/AUT,2017,3.8
dcs:who/GASPRSESC,dcid:country/AUT,2011,13.20755
dcs:who/GASPRSESC,dcid:country/AUT,2015,0.0
dcs:who/GASPRSESC,dcid:country/AUT,2016,4.16667
dcs:who/GASPRSESC,dcid:country/AUT,2009,21.15385
dcs:who/GASPRSESC,dcid:country/AUT,2013,6.42202
dcs:who/GASPRSESC,dcid:country/AUT,2010,22.72727
dcs:who/GASPRSESC,dcid:country/AUT,2014,0.9901
dcs:who/GASPRSESC,dcid:country/BEL,2015,11.11111
dcs:who/GASPRSESC,dcid:country/BEL,2017,2.0
dcs:who/GASPRSESC,dcid:country/BEL,2013,6.36364
dcs:who/GASPRSESC,dcid:country/BEL,2012,0.93458
dcs:who/GASPRSESC,dcid:country/BEL,2009,6.36364
dcs:who/GASPRSESC,dcid:country/BEL,2018,2.9
dcs:who/GASPRSESC,dcid:country/BEL,2010,3.63636
dcs:who/GASPRSESC,dcid:country/BEL,2014,12.14286
