SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GASPTIAZM,dcid:country/ARE,2017,19.0
dcs:who/GASPTIAZM,dcid:country/ARE,2018,10.0
dcs:who/GASPTIAZM,dcid:country/ARG,2018,868.0
dcs:who/GASPTIAZM,dcid:country/ARG,2015,728.0
dcs:who/GASPTIAZM,dcid:country/ARG,2011,351.0
dcs:who/GASPTIAZM,dcid:country/ARG,2017,903.0
dcs:who/GASPTIAZM,dcid:country/ARG,2013,606.0
dcs:who/GASPTIAZM,dcid:country/ARG,2009,310.0
dcs:who/GASPTIAZM,dcid:country/ARG,2020,285.0
dcs:who/GASPTIAZM,dcid:country/ARG,2016,709.0
dcs:who/GASPTIAZM,dcid:country/AUS,2011,4106.0
dcs:who/GASPTIAZM,dcid:country/AUS,2016,6378.0
dcs:who/GASPTIAZM,dcid:country/AUS,2013,4897.0
dcs:who/GASPTIAZM,dcid:country/AUS,2014,4804.0
dcs:who/GASPTIAZM,dcid:country/AUS,2015,5411.0
dcs:who/GASPTIAZM,dcid:country/AUS,2017,7835.0
dcs:who/GASPTIAZM,dcid:country/AUS,2018,9006.0
dcs:who/GASPTIAZM,dcid:country/AUS,2020,7222.0
dcs:who/GASPTIAZM,dcid:country/AUS,2012,4718.0
dcs:who/GASPTIAZM,dcid:country/AUT,2017,262.0
dcs:who/GASPTIAZM,dcid:country/AUT,2020,245.0
dcs:who/GASPTIAZM,dcid:country/AUT,2009,104.0
dcs:who/GASPTIAZM,dcid:country/AUT,2013,109.0
dcs:who/GASPTIAZM,dcid:country/AUT,2018,267.0
dcs:who/GASPTIAZM,dcid:country/AUT,2012,107.0
dcs:who/GASPTIAZM,dcid:country/AUT,2016,192.0
dcs:who/GASPTIAZM,dcid:country/AUT,2014,101.0
dcs:who/GASPTIAZM,dcid:country/AUT,2010,110.0
dcs:who/GASPTIAZM,dcid:country/AUT,2015,61.0
dcs:who/GASPTIAZM,dcid:country/AUT,2011,106.0
dcs:who/GASPTIAZM,dcid:country/BEL,2017,98.0
dcs:who/GASPTIAZM,dcid:country/BEL,2010,110.0
dcs:who/GASPTIAZM,dcid:country/BEL,2016,99.0
dcs:who/GASPTIAZM,dcid:country/BEL,2011,110.0
dcs:who/GASPTIAZM,dcid:country/BEL,2013,110.0
dcs:who/GASPTIAZM,dcid:country/BEL,2012,107.0
dcs:who/GASPTIAZM,dcid:country/BEL,2015,99.0
dcs:who/GASPTIAZM,dcid:country/BEL,2018,180.0
dcs:who/GASPTIAZM,dcid:country/BEL,2014,140.0
dcs:who/GASPTIAZM,dcid:country/BEL,2020,159.0
dcs:who/GASPTIAZM,dcid:country/BEL,2009,110.0
dcs:who/GASPTIAZM,dcid:country/BFA,2019,52.0
dcs:who/GASPTIAZM,dcid:country/BLR,2013,40.0
dcs:who/GASPTIAZM,dcid:country/BLR,2019,59.0
dcs:who/GASPTIAZM,dcid:country/BLR,2012,75.0
dcs:who/GASPTIAZM,dcid:country/BLR,2018,19.0
dcs:who/GASPTIAZM,dcid:country/BLR,2010,78.0
dcs:who/GASPTIAZM,dcid:country/BLR,2017,36.0
dcs:who/GASPTIAZM,dcid:country/BLR,2009,80.0
dcs:who/GASPTIAZM,dcid:country/BRA,2009,120.0
dcs:who/GASPTIAZM,dcid:country/BRA,2016,550.0
dcs:who/GASPTIAZM,dcid:country/BRA,2020,632.0
dcs:who/GASPTIAZM,dcid:country/BRN,2016,55.0
dcs:who/GASPTIAZM,dcid:country/BRN,2019,55.0
dcs:who/GASPTIAZM,dcid:country/BTN,2020,97.0
dcs:who/GASPTIAZM,dcid:country/BTN,2016,313.0
dcs:who/GASPTIAZM,dcid:country/BTN,2014,333.0
dcs:who/GASPTIAZM,dcid:country/BTN,2015,482.0
dcs:who/GASPTIAZM,dcid:country/BTN,2012,142.0
dcs:who/GASPTIAZM,dcid:country/BTN,2018,315.0
dcs:who/GASPTIAZM,dcid:country/BTN,2013,215.0
dcs:who/GASPTIAZM,dcid:country/BTN,2017,233.0
dcs:who/GASPTIAZM,dcid:country/CAN,2014,3809.0
dcs:who/GASPTIAZM,dcid:country/CAN,2012,3036.0
dcs:who/GASPTIAZM,dcid:country/CAN,2010,2970.0
dcs:who/GASPTIAZM,dcid:country/CAN,2016,4538.0
