SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GASPTICFM,dcid:country/ARE,2017,5.0
dcs:who/GASPTICFM,dcid:country/ARE,2018,7.0
dcs:who/GASPTICFM,dcid:country/ARG,2017,903.0
dcs:who/GASPTICFM,dcid:country/ARG,2016,709.0
dcs:who/GASPTICFM,dcid:country/ARG,2015,728.0
dcs:who/GASPTICFM,dcid:country/ARG,2018,868.0
dcs:who/GASPTICFM,dcid:country/AUT,2017,262.0
dcs:who/GASPTICFM,dcid:country/AUT,2012,107.0
dcs:who/GASPTICFM,dcid:country/AUT,2016,192.0
dcs:who/GASPTICFM,dcid:country/AUT,2010,110.0
dcs:who/GASPTICFM,dcid:country/AUT,2011,106.0
dcs:who/GASPTICFM,dcid:country/AUT,2009,104.0
dcs:who/GASPTICFM,dcid:country/AUT,2018,267.0
dcs:who/GASPTICFM,dcid:country/AUT,2013,109.0
dcs:who/GASPTICFM,dcid:country/AUT,2015,61.0
dcs:who/GASPTICFM,dcid:country/AUT,2014,101.0
dcs:who/GASPTICFM,dcid:country/BEL,2010,110.0
dcs:who/GASPTICFM,dcid:country/BEL,2012,107.0
dcs:who/GASPTICFM,dcid:country/BEL,2016,99.0
dcs:who/GASPTICFM,dcid:country/BEL,2015,99.0
dcs:who/GASPTICFM,dcid:country/BEL,2009,110.0
dcs:who/GASPTICFM,dcid:country/BEL,2017,98.0
dcs:who/GASPTICFM,dcid:country/BEL,2013,110.0
dcs:who/GASPTICFM,dcid:country/BEL,2011,110.0
dcs:who/GASPTICFM,dcid:country/BEL,2018,174.0
dcs:who/GASPTICFM,dcid:country/BEL,2014,140.0
dcs:who/GASPTICFM,dcid:country/BLR,2012,75.0
dcs:who/GASPTICFM,dcid:country/BLR,2018,19.0
dcs:who/GASPTICFM,dcid:country/BLR,2013,40.0
dcs:who/GASPTICFM,dcid:country/BLR,2017,36.0
dcs:who/GASPTICFM,dcid:country/BLR,2009,80.0
dcs:who/GASPTICFM,dcid:country/BLR,2010,78.0
dcs:who/GASPTICFM,dcid:country/BRA,2016,550.0
dcs:who/GASPTICFM,dcid:country/BTN,2015,200.0
dcs:who/GASPTICFM,dcid:country/CAN,2011,3360.0
dcs:who/GASPTICFM,dcid:country/CAN,2010,2970.0
dcs:who/GASPTICFM,dcid:country/CAN,2016,4538.0
dcs:who/GASPTICFM,dcid:country/CAN,2017,2936.0
dcs:who/GASPTICFM,dcid:country/CAN,2014,3809.0
