SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GASPTICRO,dcid:country/ARE,2018,9.0
dcs:who/GASPTICRO,dcid:country/ARE,2017,51.0
dcs:who/GASPTICRO,dcid:country/ARE,2020,220.0
dcs:who/GASPTICRO,dcid:country/ARG,2015,728.0
dcs:who/GASPTICRO,dcid:country/ARG,2011,351.0
dcs:who/GASPTICRO,dcid:country/ARG,2009,310.0
dcs:who/GASPTICRO,dcid:country/ARG,2020,285.0
dcs:who/GASPTICRO,dcid:country/ARG,2012,404.0
dcs:who/GASPTICRO,dcid:country/ARG,2013,606.0
dcs:who/GASPTICRO,dcid:country/ARG,2017,903.0
dcs:who/GASPTICRO,dcid:country/ARG,2018,868.0
dcs:who/GASPTICRO,dcid:country/ARG,2014,679.0
dcs:who/GASPTICRO,dcid:country/ARG,2010,316.0
dcs:who/GASPTICRO,dcid:country/ARG,2016,709.0
dcs:who/GASPTICRO,dcid:country/AUS,2011,4106.0
dcs:who/GASPTICRO,dcid:country/AUS,2015,5411.0
dcs:who/GASPTICRO,dcid:country/AUS,2016,6378.0
dcs:who/GASPTICRO,dcid:country/AUS,2013,4897.0
dcs:who/GASPTICRO,dcid:country/AUS,2012,4718.0
dcs:who/GASPTICRO,dcid:country/AUS,2010,3220.0
dcs:who/GASPTICRO,dcid:country/AUS,2020,7222.0
dcs:who/GASPTICRO,dcid:country/AUS,2018,9006.0
dcs:who/GASPTICRO,dcid:country/AUS,2009,3157.0
dcs:who/GASPTICRO,dcid:country/AUS,2017,7835.0
dcs:who/GASPTICRO,dcid:country/AUS,2014,4894.0
dcs:who/GASPTICRO,dcid:country/AUT,2010,110.0
dcs:who/GASPTICRO,dcid:country/AUT,2020,245.0
dcs:who/GASPTICRO,dcid:country/AUT,2012,107.0
dcs:who/GASPTICRO,dcid:country/AUT,2018,267.0
dcs:who/GASPTICRO,dcid:country/AUT,2017,262.0
dcs:who/GASPTICRO,dcid:country/AUT,2016,192.0
dcs:who/GASPTICRO,dcid:country/AUT,2009,104.0
dcs:who/GASPTICRO,dcid:country/AUT,2013,109.0
dcs:who/GASPTICRO,dcid:country/AUT,2015,61.0
dcs:who/GASPTICRO,dcid:country/AUT,2011,106.0
dcs:who/GASPTICRO,dcid:country/BEL,2018,180.0
dcs:who/GASPTICRO,dcid:country/BEL,2015,99.0
dcs:who/GASPTICRO,dcid:country/BEL,2020,159.0
dcs:who/GASPTICRO,dcid:country/BEL,2009,110.0
dcs:who/GASPTICRO,dcid:country/BEL,2016,99.0
dcs:who/GASPTICRO,dcid:country/BEL,2011,110.0
dcs:who/GASPTICRO,dcid:country/BEL,2017,98.0
dcs:who/GASPTICRO,dcid:country/BEL,2013,110.0
dcs:who/GASPTICRO,dcid:country/BEL,2012,107.0
dcs:who/GASPTICRO,dcid:country/BEL,2010,110.0
dcs:who/GASPTICRO,dcid:country/BFA,2019,52.0
dcs:who/GASPTICRO,dcid:country/BHR,2009,72.0
dcs:who/GASPTICRO,dcid:country/BHR,2017,15.0
dcs:who/GASPTICRO,dcid:country/BHR,2020,59.0
dcs:who/GASPTICRO,dcid:country/BLR,2009,80.0
dcs:who/GASPTICRO,dcid:country/BLR,2017,36.0
dcs:who/GASPTICRO,dcid:country/BLR,2019,59.0
dcs:who/GASPTICRO,dcid:country/BLR,2018,19.0
dcs:who/GASPTICRO,dcid:country/BLR,2010,78.0
dcs:who/GASPTICRO,dcid:country/BLR,2012,75.0
dcs:who/GASPTICRO,dcid:country/BLR,2013,40.0
dcs:who/GASPTICRO,dcid:country/BLZ,2020,8.0
dcs:who/GASPTICRO,dcid:country/BOL,2014,5.0
dcs:who/GASPTICRO,dcid:country/BOL,2009,13.0
dcs:who/GASPTICRO,dcid:country/BRA,2020,656.0
dcs:who/GASPTICRO,dcid:country/BRA,2016,550.0
dcs:who/GASPTICRO,dcid:country/BRA,2009,120.0
dcs:who/GASPTICRO,dcid:country/BRN,2011,295.0
dcs:who/GASPTICRO,dcid:country/BRN,2019,44.0
dcs:who/GASPTICRO,dcid:country/BRN,2009,396.0
dcs:who/GASPTICRO,dcid:country/BRN,2010,389.0
dcs:who/GASPTICRO,dcid:country/BTN,2018,174.0
dcs:who/GASPTICRO,dcid:country/BTN,2010,181.0
dcs:who/GASPTICRO,dcid:country/BTN,2015,482.0
dcs:who/GASPTICRO,dcid:country/BTN,2014,333.0
dcs:who/GASPTICRO,dcid:country/BTN,2017,232.0
dcs:who/GASPTICRO,dcid:country/BTN,2011,244.0
dcs:who/GASPTICRO,dcid:country/BTN,2016,313.0
dcs:who/GASPTICRO,dcid:country/BTN,2009,179.0
dcs:who/GASPTICRO,dcid:country/BTN,2020,97.0
dcs:who/GASPTICRO,dcid:country/CAN,2020,3130.0
dcs:who/GASPTICRO,dcid:country/CAN,2013,3195.0
dcs:who/GASPTICRO,dcid:country/CAN,2016,4538.0
dcs:who/GASPTICRO,dcid:country/CAN,2011,3360.0
dcs:who/GASPTICRO,dcid:country/CAN,2015,4190.0
dcs:who/GASPTICRO,dcid:country/CAN,2010,2970.0
dcs:who/GASPTICRO,dcid:country/CAN,2012,3036.0
dcs:who/GASPTICRO,dcid:country/CAN,2017,2930.0
dcs:who/GASPTICRO,dcid:country/CAN,2014,3106.0
dcs:who/GASPTICRO,dcid:country/CAN,2018,3123.0
dcs:who/GASPTICRO,dcid:country/CAN,2009,3106.0
dcs:who/GASPTICRO,dcid:country/CHE,2018,110.0
dcs:who/GASPTICRO,dcid:country/CHE,2020,154.0
dcs:who/GASPTICRO,dcid:country/CHE,2017,41.0
dcs:who/GASPTICRO,dcid:country/CHL,2010,508.0
dcs:who/GASPTICRO,dcid:country/CHL,2018,2091.0
dcs:who/GASPTICRO,dcid:country/CHL,2011,743.0
dcs:who/GASPTICRO,dcid:country/CHL,2015,1500.0
dcs:who/GASPTICRO,dcid:country/CHL,2013,891.0
