SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/AFG,2012,10256.33008
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/AFG,2012,35453.80078
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/AFG,2000,37560.76172
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/AFG,2000,11111.24023
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/AFG,2012,68969.61719
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/AFG,2000,37893.53906
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/AFG,2012,23259.49023
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/AFG,2000,86565.53906
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/AGO,2012,52614.98828
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/AGO,2012,8858.25586
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/AGO,2012,32236.11914
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/AGO,2000,30593.76953
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/AGO,2000,76144.75781
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/AGO,2000,8757.11719
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/AGO,2012,93709.36719
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/AGO,2000,115495.60156
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/ALB,2012,3508.06592
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/ALB,2012,29902.86914
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/ALB,2000,4836.89014
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/ALB,2012,23097.84961
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/ALB,2000,27014.25
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/ALB,2012,3296.95605
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/ALB,2000,5067.86816
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/ALB,2000,36919.01172
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/ARE,2012,2243.72095
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/ARE,2012,25546.00977
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/ARE,2000,2928.41309
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/ARE,2012,20714.08008
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/ARE,2012,2588.20605
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/ARE,2000,29298.23047
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/ARE,2000,2985.30811
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/ARE,2000,23384.50977
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/ARG,2000,3539.50293
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/ARG,2012,20092.7793
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/ARG,2012,26808.17969
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/ARG,2012,3706.05298
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/ARG,2012,3009.354
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/ARG,2000,29479.24023
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/ARG,2000,21591.51953
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/ARG,2000,4348.22021
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/ARM,2012,3274.25708
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/ARM,2012,28089.73047
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/ARM,2012,3719.0459
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/ARM,2000,4955.84424
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/ARM,2000,27206.73047
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/ARM,2012,35083.03125
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/ARM,2000,2941.86011
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/ARM,2000,35104.42969
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/AUS,2012,14458.09961
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/AUS,2012,2076.49707
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/AUS,2012,17695.91992
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/AUS,2000,2670.75195
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/AUS,2012,1161.32202
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/AUS,2000,16782.11914
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/AUS,2000,1332.55396
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/AUS,2000,20785.41992
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/AUT,2012,2082.21606
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/AUT,2012,16747.7207
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/AUT,2012,19763.44922
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/AUT,2012,933.51617
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE151,dcid:country/AUT,2000,2859.98901
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE060,dcid:country/AUT,2000,18653.69922
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE000,dcid:country/AUT,2000,22536.44922
dcs:who/GBD_DALYRTAGE.GHECAUSES--GHE001,dcid:country/AUT,2000,1022.75702
