SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GDO_q19x3x1_1,dcid:country/AUS,2017,25.0
dcs:who/GDO_q19x3x1_1,dcid:country/BRA,2017,1.0
dcs:who/GDO_q19x3x1_1,dcid:country/CHN,2017,2.0
dcs:who/GDO_q19x3x1_1,dcid:country/CZE,2017,7.0
dcs:who/GDO_q19x3x1_1,dcid:country/DEU,2017,3.0
dcs:who/GDO_q19x3x1_1,dcid:country/DNK,2017,5.0
dcs:who/GDO_q19x3x1_1,dcid:country/EST,2017,1.0
dcs:who/GDO_q19x3x1_1,dcid:country/FRA,2017,40.0
dcs:who/GDO_q19x3x1_1,dcid:country/GBR,2017,16.0
dcs:who/GDO_q19x3x1_1,dcid:country/GRC,2017,4.0
dcs:who/GDO_q19x3x1_1,dcid:country/HUN,2017,10.0
dcs:who/GDO_q19x3x1_1,dcid:country/IRL,2017,1.0
dcs:who/GDO_q19x3x1_1,dcid:country/JPN,2017,10.0
dcs:who/GDO_q19x3x1_1,dcid:country/KOR,2017,11.0
dcs:who/GDO_q19x3x1_1,dcid:country/MYS,2017,1.0
dcs:who/GDO_q19x3x1_1,dcid:country/NLD,2017,5.0
dcs:who/GDO_q19x3x1_1,dcid:country/SGP,2017,10.0
dcs:who/GDO_q19x3x1_1,dcid:country/SWE,2017,61.0
dcs:who/GDO_q19x3x1_1,dcid:country/TUN,2017,1.0
dcs:who/GDO_q19x3x1_1,dcid:country/ZAF,2017,1.0
