SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GDO_q35,dcid:country/AFG,2015,3.31159
dcs:who/GDO_q35,dcid:country/AGO,2015,3.64503
dcs:who/GDO_q35,dcid:country/ALB,2015,4.77728
dcs:who/GDO_q35,dcid:country/ARE,2015,5.11804
dcs:who/GDO_q35,dcid:country/ARG,2015,4.73135
dcs:who/GDO_q35,dcid:country/ARM,2015,4.98918
dcs:who/GDO_q35,dcid:country/ATG,2015,5.05867
dcs:who/GDO_q35,dcid:country/AUS,2015,5.94026
dcs:who/GDO_q35,dcid:country/AUT,2015,5.07762
dcs:who/GDO_q35,dcid:country/AZE,2015,4.63536
dcs:who/GDO_q35,dcid:country/BDI,2015,4.21757
dcs:who/GDO_q35,dcid:country/BEL,2015,4.81365
dcs:who/GDO_q35,dcid:country/BEN,2015,3.85398
dcs:who/GDO_q35,dcid:country/BFA,2015,3.60906
dcs:who/GDO_q35,dcid:country/BGD,2015,4.07197
dcs:who/GDO_q35,dcid:country/BGR,2015,5.1567
dcs:who/GDO_q35,dcid:country/BHR,2015,4.75979
dcs:who/GDO_q35,dcid:country/BHS,2015,5.1832
dcs:who/GDO_q35,dcid:country/BIH,2015,5.06955
dcs:who/GDO_q35,dcid:country/BLR,2015,5.57264
dcs:who/GDO_q35,dcid:country/BLZ,2015,4.40284
dcs:who/GDO_q35,dcid:country/BOL,2015,4.36209
dcs:who/GDO_q35,dcid:country/BRA,2015,5.75637
dcs:who/GDO_q35,dcid:country/BRB,2015,5.35136
dcs:who/GDO_q35,dcid:country/BRN,2015,4.03097
dcs:who/GDO_q35,dcid:country/BTN,2015,4.15376
dcs:who/GDO_q35,dcid:country/BWA,2015,4.66097
dcs:who/GDO_q35,dcid:country/CAF,2015,4.18762
dcs:who/GDO_q35,dcid:country/CAN,2015,4.65483
dcs:who/GDO_q35,dcid:country/CHE,2015,4.99544
dcs:who/GDO_q35,dcid:country/CHL,2015,5.00655
dcs:who/GDO_q35,dcid:country/CHN,2015,4.17218
dcs:who/GDO_q35,dcid:country/CIV,2015,3.79018
dcs:who/GDO_q35,dcid:country/CMR,2015,3.88461
dcs:who/GDO_q35,dcid:country/COD,2015,3.76623
dcs:who/GDO_q35,dcid:country/COG,2015,3.94981
dcs:who/GDO_q35,dcid:country/COL,2015,4.67554
dcs:who/GDO_q35,dcid:country/COM,2015,4.3628
dcs:who/GDO_q35,dcid:country/CPV,2015,4.92824
dcs:who/GDO_q35,dcid:country/CRI,2015,4.69745
dcs:who/GDO_q35,dcid:country/CUB,2015,5.49024
dcs:who/GDO_q35,dcid:country/CYP,2015,5.06006
dcs:who/GDO_q35,dcid:country/CZE,2015,5.16328
dcs:who/GDO_q35,dcid:country/DEU,2015,5.19315
dcs:who/GDO_q35,dcid:country/DJI,2015,5.07172
dcs:who/GDO_q35,dcid:country/DNK,2015,4.97833
