SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GDO_q9x6_1,dcid:country/BRA,2017,12325.0
dcs:who/GDO_q9x6_1,dcid:country/BRN,2017,0.0
dcs:who/GDO_q9x6_1,dcid:country/CHL,2017,1.0
dcs:who/GDO_q9x6_1,dcid:country/FRA,2017,1123.0
dcs:who/GDO_q9x6_1,dcid:country/GBR,2017,10960.0
dcs:who/GDO_q9x6_1,dcid:country/GRC,2017,50.0
dcs:who/GDO_q9x6_1,dcid:country/JPN,2017,4328.0
dcs:who/GDO_q9x6_1,dcid:country/KOR,2017,8786.0
dcs:who/GDO_q9x6_1,dcid:country/LBN,2017,0.0
dcs:who/GDO_q9x6_1,dcid:country/MMR,2017,1.0
dcs:who/GDO_q9x6_1,dcid:country/MUS,2017,209.0
dcs:who/GDO_q9x6_1,dcid:country/MYS,2017,108.0
dcs:who/GDO_q9x6_1,dcid:country/OMN,2017,2.0
dcs:who/GDO_q9x6_1,dcid:country/SVN,2017,24.0
dcs:who/GDO_q9x6_1,dcid:country/SWE,2017,321.0
dcs:who/GDO_q9x6_1,dcid:country/THA,2017,1100.0
dcs:who/GDO_q9x6_1,dcid:country/USA,2017,12200.0
dcs:who/GDO_q9x6_1,dcid:country/VNM,2017,418.0
dcs:who/GDO_q9x6_1,dcid:country/ZAF,2017,12.0
