SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2021,11.6
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2019,9.9
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2020,9.82
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2018,9.83
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2017,10.08
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2014,11.22
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2012,10.96
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2010,11.09
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2008,10.82
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2009,11.23
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2011,11.26
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2015,10.69
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2016,9.94
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2013,11.22
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2004,9.54
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2005,10.01
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2007,10.74
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2000,6.16
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2002,8.15
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2006,11.08
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2001,7.1
dcs:who/GHED_EXTCHE_SHA2011,dcid:Earth,2003,8.14
dcs:who/GHED_EXTCHE_SHA2011,dcid:SouthEasternAsia,2021,10.55
dcs:who/GHED_EXTCHE_SHA2011,dcid:SouthEasternAsia,2020,6.94
dcs:who/GHED_EXTCHE_SHA2011,dcid:SouthEasternAsia,2019,6.77
dcs:who/GHED_EXTCHE_SHA2011,dcid:SouthEasternAsia,2018,6.59
dcs:who/GHED_EXTCHE_SHA2011,dcid:SouthEasternAsia,2017,6.92
dcs:who/GHED_EXTCHE_SHA2011,dcid:SouthEasternAsia,2016,7.37
dcs:who/GHED_EXTCHE_SHA2011,dcid:SouthEasternAsia,2015,6.94
dcs:who/GHED_EXTCHE_SHA2011,dcid:SouthEasternAsia,2014,7.97
