SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2020,36.39
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2016,39.02
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2018,38.8
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2019,38.66
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2021,35.73
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2017,38.88
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2014,38.86
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2013,39.3
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2009,39.98
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2015,39.31
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2007,41.21
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2008,40.82
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2012,39.65
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2010,39.95
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2011,39.47
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2005,42.03
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2003,42.91
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2004,42.39
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2001,43.28
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2000,43.71
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2002,43.27
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:Earth,2006,41.45
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2021,42.26
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2020,44.33
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2018,45.66
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2019,46.14
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2017,46.8
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2015,49.09
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2016,49.03
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2014,49.75
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2013,51.54
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2012,52.32
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2011,52.59
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2010,52.75
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2009,50.62
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2008,51.01
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2007,51.93
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2006,51.52
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2005,56.12
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2003,56.57
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2004,55.42
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2002,58.09
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2001,57.78
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:SouthEasternAsia,2000,58.45
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2021,41.38
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2020,42.35
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2019,44.17
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2018,44.07
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2017,44.04
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2016,45.39
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2015,44.77
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2014,43.95
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2013,43.68
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2011,43.8
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2012,44.29
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2010,45.66
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2009,47.1
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2008,47.07
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2007,48.01
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2005,48.85
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2006,48.29
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2004,49.95
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2002,52.87
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2003,51.15
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2001,53.09
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:africa,2000,54.46
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2021,77.35
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2020,76.23
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2016,75.97
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2017,75.48
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2019,76.82
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2018,76.38
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2015,78.38
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2011,73.26
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2013,72.05
dcs:who/GHED_PVT-DCHE_SHA2011,dcid:country/AFG,2014,73.06
