SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2020,339.62
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2021,376.64
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2017,338.36
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2016,323.67
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2019,352.34
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2018,352.39
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2008,300.46
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2015,319.18
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2010,299.22
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2012,325.2
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2013,339.31
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2014,345.02
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2009,291.33
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2007,271.3
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2011,328.04
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2006,241.44
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2004,210.19
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2002,157.81
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2000,145.08
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2001,147.61
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2003,184.75
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:Earth,2005,225.07
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2021,61.72
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2020,57.98
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2018,56.54
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2019,57.64
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2017,64.34
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2015,60.58
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2016,65.98
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2014,61.31
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2013,64.63
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2012,64.34
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2011,61.92
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2010,55.76
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2009,50.54
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2008,54.06
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2006,40.02
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2007,42.6
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2005,36.51
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2004,33.44
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2003,27.51
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2002,30.39
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2001,27.16
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:SouthEasternAsia,2000,26.38
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2020,47.07
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2021,50.54
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2019,50.23
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2017,49.62
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2018,52.49
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2016,49.47
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2015,50.32
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2014,54.85
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2013,52.25
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2012,50.92
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2011,50.95
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2010,47.21
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2008,44.06
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2009,44.57
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2007,39.53
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2005,34.03
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2006,35.85
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2004,32.23
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2002,21.98
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2003,27.33
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2001,21.36
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:africa,2000,21.14
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2021,62.9
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2020,61.2
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2019,57.03
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2017,50.51
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2016,46.71
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2018,54.48
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2014,43.97
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2012,39.19
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2015,47.08
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2011,38.36
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2013,40.57
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2009,31.48
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2006,22.22
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2007,25.58
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2010,36.8
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2008,30.14
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2005,19.83
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2003,15.33
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2004,18.11
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AFG,2002,14.52
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2021,23.96
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2019,32.75
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2020,22.94
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2018,45.27
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2013,50.59
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2017,57.11
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2016,49.14
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2012,39.67
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2015,53.78
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2014,55.8
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2007,36.59
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2009,34.21
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2008,44.97
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2011,39.48
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2010,33.48
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2002,17.26
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2004,27.65
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2005,28.26
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2006,28.17
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2003,20.1
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2001,15.31
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AGO,2000,5.37
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2021,277.77
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2020,236.06
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2017,170.37
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2018,198.39
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2016,156.59
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2019,208.35
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2015,146.43
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2013,160.54
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2011,164.47
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2012,152.72
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2010,153.15
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2014,174.67
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2007,105.04
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2009,135.39
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2006,81.82
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2008,135.2
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2005,75.03
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2004,66.77
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2003,53.06
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2001,36.25
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2002,40.17
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ALB,2000,33.76
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2016,773.11
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2021,911.37
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2020,895.23
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2018,925.7
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2017,806.3
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2019,868.09
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2010,963.65
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2013,907.9
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2012,920.1
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2014,894.72
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2011,1033.94
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2015,754.37
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2004,754.51
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2005,791.49
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2008,1062.57
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2009,974.97
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2006,856.79
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2007,1003.09
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2003,637.17
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2001,465.38
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2000,443.71
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/AND,2002,500.68
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2020,855.11
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2021,844.14
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2019,967.9
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2014,480.71
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2018,927.24
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2015,413.78
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2017,780.06
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2016,379.44
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2011,413.91
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2006,450.16
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2012,406.54
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2013,448.89
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2007,465.67
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2009,338.11
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2008,477.08
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2010,386.24
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2000,234.73
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2004,390.92
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2003,334.16
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2005,422.48
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2001,170.82
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARE,2002,318.44
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2021,371.24
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2016,431.91
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2017,524.61
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2020,319.87
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2018,500.07
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2015,503.3
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2019,398.4
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2008,326.7
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2011,470.18
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2012,504.65
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2009,310.77
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2014,436.02
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2013,508.87
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2010,399.22
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2005,185.23
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2003,117.3
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2004,130.02
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2007,258.8
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2006,213.53
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2002,96.8
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2001,301.76
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARG,2000,318.9
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2021,498.5
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2019,475.84
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2020,439.27
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2013,334.78
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2014,342.15
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2016,299.12
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2018,379.86
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2015,307.88
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2017,357.99
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2009,182.18
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2010,226.45
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2012,265.48
dcs:who/GHED_PVT-D_pc_US_SHA2011,dcid:country/ARM,2007,98.44
