SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHE_YLDNUM.GHECAUSES--GHE162__SEX--F,dcid:Earth,2012,336934.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE163__SEX--F,dcid:Earth,2012,3929.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE156__SEX--F,dcid:Earth,2012,549706.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE159__SEX--F,dcid:Earth,2012,2642896.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE153__SEX--F,dcid:Earth,2012,4589800.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE148__SEX--F,dcid:Earth,2012,2545252.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE151__SEX--F,dcid:Earth,2012,17236316.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE149__SEX--F,dcid:Earth,2012,2751448.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE144__SEX--F,dcid:Earth,2012,273872.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE155__SEX--F,dcid:Earth,2012,8663406.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE142__SEX--F,dcid:Earth,2012,116435.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE143__SEX--F,dcid:Earth,2012,633439.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE139__SEX--F,dcid:Earth,2012,19796852.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE138__SEX--F,dcid:Earth,2012,26326492.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE141__SEX--F,dcid:Earth,2012,433850.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE132__SEX--F,dcid:Earth,2012,10227142.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE125__SEX--F,dcid:Earth,2012,2562554.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE123__SEX--F,dcid:Earth,2012,248823.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE129__SEX--F,dcid:Earth,2012,284559.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE137__SEX--F,dcid:Earth,2012,26198.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE136__SEX--F,dcid:Earth,2012,11545520.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE134__SEX--F,dcid:Earth,2012,60813700.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE122__SEX--F,dcid:Earth,2012,132201.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE119__SEX--F,dcid:Earth,2012,7362330.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE113__SEX--F,dcid:Earth,2012,4271617.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE117__SEX--F,dcid:Earth,2012,25024088.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE121__SEX--F,dcid:Earth,2012,3024295.0
dcs:who/GHE_YLDNUM.GHECAUSES--GHE115__SEX--F,dcid:Earth,2012,200837.0
