SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHE_YLDRATE.GHECAUSES--GHE163__SEX--F,dcid:Earth,2012,0.1
dcs:who/GHE_YLDRATE.GHECAUSES--GHE156__SEX--F,dcid:Earth,2012,15.7
dcs:who/GHE_YLDRATE.GHECAUSES--GHE162__SEX--F,dcid:Earth,2012,9.6
dcs:who/GHE_YLDRATE.GHECAUSES--GHE159__SEX--F,dcid:Earth,2012,75.3
dcs:who/GHE_YLDRATE.GHECAUSES--GHE148__SEX--F,dcid:Earth,2012,72.5
dcs:who/GHE_YLDRATE.GHECAUSES--GHE151__SEX--F,dcid:Earth,2012,491.20001
dcs:who/GHE_YLDRATE.GHECAUSES--GHE144__SEX--F,dcid:Earth,2012,7.8
dcs:who/GHE_YLDRATE.GHECAUSES--GHE155__SEX--F,dcid:Earth,2012,246.89999
dcs:who/GHE_YLDRATE.GHECAUSES--GHE153__SEX--F,dcid:Earth,2012,130.8
dcs:who/GHE_YLDRATE.GHECAUSES--GHE149__SEX--F,dcid:Earth,2012,78.4
dcs:who/GHE_YLDRATE.GHECAUSES--GHE142__SEX--F,dcid:Earth,2012,3.3
dcs:who/GHE_YLDRATE.GHECAUSES--GHE143__SEX--F,dcid:Earth,2012,18.1
dcs:who/GHE_YLDRATE.GHECAUSES--GHE136__SEX--F,dcid:Earth,2012,329.0
dcs:who/GHE_YLDRATE.GHECAUSES--GHE137__SEX--F,dcid:Earth,2012,0.7
dcs:who/GHE_YLDRATE.GHECAUSES--GHE141__SEX--F,dcid:Earth,2012,12.4
dcs:who/GHE_YLDRATE.GHECAUSES--GHE138__SEX--F,dcid:Earth,2012,750.29999
dcs:who/GHE_YLDRATE.GHECAUSES--GHE129__SEX--F,dcid:Earth,2012,8.1
dcs:who/GHE_YLDRATE.GHECAUSES--GHE125__SEX--F,dcid:Earth,2012,73.0
dcs:who/GHE_YLDRATE.GHECAUSES--GHE119__SEX--F,dcid:Earth,2012,209.8
dcs:who/GHE_YLDRATE.GHECAUSES--GHE132__SEX--F,dcid:Earth,2012,291.5
dcs:who/GHE_YLDRATE.GHECAUSES--GHE122__SEX--F,dcid:Earth,2012,3.8
dcs:who/GHE_YLDRATE.GHECAUSES--GHE123__SEX--F,dcid:Earth,2012,7.1
