SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/GHE_YLLNUM.GHECAUSES--GHE163__SEX--F,dcid:Earth,2012,1104264.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE162__SEX--F,dcid:Earth,2012,5863596.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE160__SEX--F,dcid:Earth,2012,21062974.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE161__SEX--F,dcid:Earth,2012,14095114.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE155__SEX--F,dcid:Earth,2012,8322021.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE156__SEX--F,dcid:Earth,2012,7834559.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE157__SEX--F,dcid:Earth,2012,7402249.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE159__SEX--F,dcid:Earth,2012,15469451.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE153__SEX--F,dcid:Earth,2012,16936554.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE152__SEX--F,dcid:Earth,2012,60104452.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE151__SEX--F,dcid:Earth,2012,81167424.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE148__SEX--F,dcid:Earth,2012,12787.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE147__SEX--F,dcid:Earth,2012,18939.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE154__SEX--F,dcid:Earth,2012,4090935.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE139__SEX--F,dcid:Earth,2012,2862797.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE140__SEX--F,dcid:Earth,2012,22169752.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE136__SEX--F,dcid:Earth,2012,32608.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE138__SEX--F,dcid:Earth,2012,27481.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE146__SEX--F,dcid:Earth,2012,7443388.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE144__SEX--F,dcid:Earth,2012,8828319.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE126__SEX--F,dcid:Earth,2012,15803194.0
dcs:who/GHE_YLLNUM.GHECAUSES--GHE127__SEX--F,dcid:Earth,2012,11762783.0
