SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/BGD,2017,18.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/BGD,2017,20.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/BGD,2017,52.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/BOL,2019,95.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/ETH,2016,20.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/ETH,2016,28.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/ETH,2016,23.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/HND,2019,89.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/HTI,2016,44.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/HTI,2016,30.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/HTI,2016,33.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/KEN,2018,54.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/KEN,2018,50.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/KEN,2018,64.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/LBR,2018,81.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/LBR,2018,85.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/LBR,2018,76.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/LKA,2017,96.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/LKA,2017,90.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/LKA,2017,91.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/NER,2015,56.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/NER,2015,19.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/NER,2015,15.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/NPL,2021,56.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/NPL,2021,60.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/NPL,2021,53.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/SEN,2019,45.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/SEN,2019,53.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/SEN,2019,3.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/SLE,2018,51.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/SLE,2018,63.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/SLE,2018,55.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/TLS,2015,23.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/TZA,2016,63.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/TZA,2016,70.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/TZA,2016,60.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--URB,dcid:country/ZWE,2015,50.0
dcs:who/HCF_REL_ELECTRICITY.RESIDENCEAREATYPE--RUR,dcid:country/ZWE,2015,48.0
dcs:who/HCF_REL_ELECTRICITY,dcid:country/ZWE,2015,48.0
