SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HIV_0000000009,dcid:Earth,2022,29300000.0
dcs:who/HIV_0000000009,dcid:Earth,2023,30700000.0
dcs:who/HIV_0000000009,dcid:Earth,2013,13000000.0
dcs:who/HIV_0000000009,dcid:Earth,2011,9300000.0
dcs:who/HIV_0000000009,dcid:Earth,1996,70000.0
dcs:who/HIV_0000000009,dcid:Earth,1997,160000.0
dcs:who/HIV_0000000009,dcid:Earth,2005,1900000.0
dcs:who/HIV_0000000009,dcid:Earth,2009,6200000.0
dcs:who/HIV_0000000009,dcid:Earth,2017,21100000.0
dcs:who/HIV_0000000009,dcid:Earth,2021,27700000.0
dcs:who/HIV_0000000009,dcid:Earth,1999,390000.0
dcs:who/HIV_0000000009,dcid:Earth,1998,280000.0
dcs:who/HIV_0000000009,dcid:Earth,2014,14900000.0
dcs:who/HIV_0000000009,dcid:Earth,2019,24700000.0
dcs:who/HIV_0000000009,dcid:Earth,2016,19000000.0
dcs:who/HIV_0000000009,dcid:Earth,1991,0.0
dcs:who/HIV_0000000009,dcid:Earth,2002,770000.0
dcs:who/HIV_0000000009,dcid:Earth,2018,22700000.0
dcs:who/HIV_0000000009,dcid:Earth,1990,0.0
dcs:who/HIV_0000000009,dcid:Earth,2006,2700000.0
dcs:who/HIV_0000000009,dcid:Earth,2003,950000.0
dcs:who/HIV_0000000009,dcid:Earth,2004,1300000.0
dcs:who/HIV_0000000009,dcid:Earth,1993,0.0
dcs:who/HIV_0000000009,dcid:Earth,2008,4900000.0
dcs:who/HIV_0000000009,dcid:Earth,2007,3700000.0
dcs:who/HIV_0000000009,dcid:Earth,1992,0.0
dcs:who/HIV_0000000009,dcid:Earth,1994,0.0
dcs:who/HIV_0000000009,dcid:Earth,1995,27000.0
dcs:who/HIV_0000000009,dcid:Earth,2015,16900000.0
dcs:who/HIV_0000000009,dcid:Earth,2001,630000.0
dcs:who/HIV_0000000009,dcid:Earth,2010,7700000.0
dcs:who/HIV_0000000009,dcid:Earth,2020,26200000.0
dcs:who/HIV_0000000009,dcid:Earth,2000,510000.0
dcs:who/HIV_0000000009,dcid:Earth,2012,11200000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1993,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1996,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1997,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2014,1300000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1999,490.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2015,1500000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1994,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1995,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2008,420000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2022,2500000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2010,690000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1991,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1992,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2005,130000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2012,990000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2002,14000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1998,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,1990,0.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2007,300000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2020,2300000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2006,200000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2013,1200000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2017,1800000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2021,2400000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2019,2200000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2001,5300.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2011,830000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2016,1600000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2003,25000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2009,550000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2018,2000000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2023,2700000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2004,63000.0
dcs:who/HIV_0000000009,dcid:SouthEasternAsia,2000,1700.0
dcs:who/HIV_0000000009,dcid:africa,2009,3900000.0
dcs:who/HIV_0000000009,dcid:africa,2001,33000.0
dcs:who/HIV_0000000009,dcid:africa,1992,0.0
dcs:who/HIV_0000000009,dcid:africa,2013,9100000.0
dcs:who/HIV_0000000009,dcid:africa,2017,15100000.0
dcs:who/HIV_0000000009,dcid:africa,2014,10600000.0
dcs:who/HIV_0000000009,dcid:africa,2012,7800000.0
dcs:who/HIV_0000000009,dcid:africa,2006,1300000.0
dcs:who/HIV_0000000009,dcid:africa,2011,6400000.0
dcs:who/HIV_0000000009,dcid:africa,1994,0.0
dcs:who/HIV_0000000009,dcid:africa,2018,16000000.0
dcs:who/HIV_0000000009,dcid:africa,1991,0.0
dcs:who/HIV_0000000009,dcid:africa,2016,13500000.0
dcs:who/HIV_0000000009,dcid:africa,2007,2100000.0
dcs:who/HIV_0000000009,dcid:africa,1993,0.0
dcs:who/HIV_0000000009,dcid:africa,2021,19400000.0
dcs:who/HIV_0000000009,dcid:africa,2000,13000.0
dcs:who/HIV_0000000009,dcid:africa,2020,18300000.0
dcs:who/HIV_0000000009,dcid:africa,2010,5100000.0
dcs:who/HIV_0000000009,dcid:africa,2015,12000000.0
dcs:who/HIV_0000000009,dcid:africa,1997,50.0
dcs:who/HIV_0000000009,dcid:africa,1995,0.0
dcs:who/HIV_0000000009,dcid:africa,2003,130000.0
dcs:who/HIV_0000000009,dcid:africa,2008,3000000.0
dcs:who/HIV_0000000009,dcid:africa,1999,660.0
dcs:who/HIV_0000000009,dcid:africa,2019,17200000.0
dcs:who/HIV_0000000009,dcid:africa,1990,0.0
dcs:who/HIV_0000000009,dcid:africa,1996,0.0
dcs:who/HIV_0000000009,dcid:africa,2023,21300000.0
dcs:who/HIV_0000000009,dcid:africa,2022,20400000.0
dcs:who/HIV_0000000009,dcid:africa,2004,370000.0
dcs:who/HIV_0000000009,dcid:africa,1998,310.0
dcs:who/HIV_0000000009,dcid:africa,2005,740000.0
dcs:who/HIV_0000000009,dcid:africa,2002,70000.0
dcs:who/HIV_0000000009,dcid:country/AFG,2013,214.0
dcs:who/HIV_0000000009,dcid:country/AFG,2021,1141.0
dcs:who/HIV_0000000009,dcid:country/AFG,2005,0.0
dcs:who/HIV_0000000009,dcid:country/AFG,2016,554.0
dcs:who/HIV_0000000009,dcid:country/AFG,2019,1044.0
dcs:who/HIV_0000000009,dcid:country/AFG,2008,0.0
dcs:who/HIV_0000000009,dcid:country/AFG,2007,0.0
dcs:who/HIV_0000000009,dcid:country/AFG,2015,350.0
dcs:who/HIV_0000000009,dcid:country/AFG,2018,924.0
dcs:who/HIV_0000000009,dcid:country/AFG,2011,114.0
dcs:who/HIV_0000000009,dcid:country/AFG,2002,0.0
dcs:who/HIV_0000000009,dcid:country/AFG,2000,0.0
dcs:who/HIV_0000000009,dcid:country/AFG,2006,0.0
dcs:who/HIV_0000000009,dcid:country/AFG,2022,1144.0
dcs:who/HIV_0000000009,dcid:country/AFG,2004,0.0
dcs:who/HIV_0000000009,dcid:country/AFG,2023,1192.0
dcs:who/HIV_0000000009,dcid:country/AFG,2020,1096.0
dcs:who/HIV_0000000009,dcid:country/AFG,2014,281.0
dcs:who/HIV_0000000009,dcid:country/AFG,2009,21.0
dcs:who/HIV_0000000009,dcid:country/AFG,2003,0.0
dcs:who/HIV_0000000009,dcid:country/AFG,2012,161.0
dcs:who/HIV_0000000009,dcid:country/AFG,2017,847.0
dcs:who/HIV_0000000009,dcid:country/AFG,2010,60.0
dcs:who/HIV_0000000009,dcid:country/AFG,2001,0.0
dcs:who/HIV_0000000009,dcid:country/AGO,2022,144033.0
dcs:who/HIV_0000000009,dcid:country/AGO,2003,0.0
dcs:who/HIV_0000000009,dcid:country/AGO,2000,0.0
dcs:who/HIV_0000000009,dcid:country/AGO,2018,88734.0
dcs:who/HIV_0000000009,dcid:country/AGO,2021,128292.0
dcs:who/HIV_0000000009,dcid:country/AGO,2015,71541.0
dcs:who/HIV_0000000009,dcid:country/AGO,2005,609.0
dcs:who/HIV_0000000009,dcid:country/AGO,2010,22036.0
dcs:who/HIV_0000000009,dcid:country/AGO,2013,48413.0
dcs:who/HIV_0000000009,dcid:country/AGO,2004,240.0
dcs:who/HIV_0000000009,dcid:country/AGO,2007,7034.0
dcs:who/HIV_0000000009,dcid:country/AGO,2009,16611.0
dcs:who/HIV_0000000009,dcid:country/AGO,2014,63028.0
dcs:who/HIV_0000000009,dcid:country/AGO,2008,11839.0
dcs:who/HIV_0000000009,dcid:country/AGO,2002,0.0
dcs:who/HIV_0000000009,dcid:country/AGO,2011,26556.0
dcs:who/HIV_0000000009,dcid:country/AGO,2012,31736.0
dcs:who/HIV_0000000009,dcid:country/AGO,2017,78721.0
dcs:who/HIV_0000000009,dcid:country/AGO,2016,69841.0
dcs:who/HIV_0000000009,dcid:country/AGO,2023,160392.0
dcs:who/HIV_0000000009,dcid:country/AGO,2020,111188.0
dcs:who/HIV_0000000009,dcid:country/AGO,2019,93310.0
dcs:who/HIV_0000000009,dcid:country/AGO,2006,4065.0
dcs:who/HIV_0000000009,dcid:country/AGO,2001,0.0
dcs:who/HIV_0000000009,dcid:country/ALB,2019,611.0
dcs:who/HIV_0000000009,dcid:country/ALB,2001,0.0
dcs:who/HIV_0000000009,dcid:country/ALB,2018,579.0
dcs:who/HIV_0000000009,dcid:country/ALB,2006,31.0
dcs:who/HIV_0000000009,dcid:country/ALB,2011,175.0
dcs:who/HIV_0000000009,dcid:country/ALB,2007,46.0
dcs:who/HIV_0000000009,dcid:country/ALB,2020,679.0
dcs:who/HIV_0000000009,dcid:country/ALB,2003,0.0
dcs:who/HIV_0000000009,dcid:country/ALB,2002,0.0
dcs:who/HIV_0000000009,dcid:country/ALB,2005,22.0
dcs:who/HIV_0000000009,dcid:country/ALB,2013,326.0
dcs:who/HIV_0000000009,dcid:country/ALB,2008,77.0
dcs:who/HIV_0000000009,dcid:country/ALB,2014,372.0
dcs:who/HIV_0000000009,dcid:country/ALB,2010,126.0
dcs:who/HIV_0000000009,dcid:country/ALB,2021,759.0
dcs:who/HIV_0000000009,dcid:country/ALB,2023,863.0
dcs:who/HIV_0000000009,dcid:country/ALB,2004,11.0
dcs:who/HIV_0000000009,dcid:country/ALB,2000,0.0
dcs:who/HIV_0000000009,dcid:country/ALB,2022,843.0
dcs:who/HIV_0000000009,dcid:country/ALB,2017,568.0
dcs:who/HIV_0000000009,dcid:country/ALB,2012,237.0
dcs:who/HIV_0000000009,dcid:country/ALB,2016,514.0
dcs:who/HIV_0000000009,dcid:country/ALB,2015,440.0
dcs:who/HIV_0000000009,dcid:country/ALB,2009,104.0
dcs:who/HIV_0000000009,dcid:country/ARG,2003,17648.0
dcs:who/HIV_0000000009,dcid:country/ARG,2001,12232.0
dcs:who/HIV_0000000009,dcid:country/ARG,2014,61349.0
dcs:who/HIV_0000000009,dcid:country/ARG,2007,30306.0
dcs:who/HIV_0000000009,dcid:country/ARG,2020,91901.0
dcs:who/HIV_0000000009,dcid:country/ARG,2023,106322.0
dcs:who/HIV_0000000009,dcid:country/ARG,2006,25993.0
dcs:who/HIV_0000000009,dcid:country/ARG,2015,66757.0
dcs:who/HIV_0000000009,dcid:country/ARG,2016,72344.0
dcs:who/HIV_0000000009,dcid:country/ARG,2004,20429.0
dcs:who/HIV_0000000009,dcid:country/ARG,2000,9565.0
dcs:who/HIV_0000000009,dcid:country/ARG,2010,41969.0
dcs:who/HIV_0000000009,dcid:country/ARG,2012,51024.0
dcs:who/HIV_0000000009,dcid:country/ARG,2009,37545.0
dcs:who/HIV_0000000009,dcid:country/ARG,2018,82239.0
dcs:who/HIV_0000000009,dcid:country/ARG,2021,96729.0
dcs:who/HIV_0000000009,dcid:country/ARG,2005,23347.0
dcs:who/HIV_0000000009,dcid:country/ARG,2022,101526.0
dcs:who/HIV_0000000009,dcid:country/ARG,2013,56109.0
dcs:who/HIV_0000000009,dcid:country/ARG,2017,77185.0
dcs:who/HIV_0000000009,dcid:country/ARG,2008,33667.0
dcs:who/HIV_0000000009,dcid:country/ARG,2019,87071.0
dcs:who/HIV_0000000009,dcid:country/ARG,2011,46335.0
dcs:who/HIV_0000000009,dcid:country/ARG,2002,14933.0
dcs:who/HIV_0000000009,dcid:country/ARM,2019,2190.0
dcs:who/HIV_0000000009,dcid:country/ARM,2013,579.0
dcs:who/HIV_0000000009,dcid:country/ARM,2009,171.0
dcs:who/HIV_0000000009,dcid:country/ARM,2011,320.0
dcs:who/HIV_0000000009,dcid:country/ARM,2014,740.0
dcs:who/HIV_0000000009,dcid:country/ARM,2017,1530.0
