SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HRH_44,dcid:country/AFG,2017,1.0
dcs:who/HRH_44,dcid:country/ALB,2017,55.0
dcs:who/HRH_44,dcid:country/ARE,2017,3.0
dcs:who/HRH_44,dcid:country/ARG,2017,1500.0
dcs:who/HRH_44,dcid:country/AUS,2017,320.0
dcs:who/HRH_44,dcid:country/AUT,2017,800.0
dcs:who/HRH_44,dcid:country/BDI,2017,1.0
dcs:who/HRH_44,dcid:country/BEL,2017,500.0
dcs:who/HRH_44,dcid:country/BEN,2017,16.0
dcs:who/HRH_44,dcid:country/BFA,2017,4.0
dcs:who/HRH_44,dcid:country/BGD,2017,12.0
dcs:who/HRH_44,dcid:country/BGR,2017,35.0
dcs:who/HRH_44,dcid:country/BHR,2017,2.0
dcs:who/HRH_44,dcid:country/BIH,2017,50.0
dcs:who/HRH_44,dcid:country/BLZ,2017,1.0
dcs:who/HRH_44,dcid:country/BOL,2017,45.0
dcs:who/HRH_44,dcid:country/BRA,2017,600.0
dcs:who/HRH_44,dcid:country/BRB,2017,1.0
dcs:who/HRH_44,dcid:country/BTN,2017,6.0
dcs:who/HRH_44,dcid:country/BWA,2017,52.0
dcs:who/HRH_44,dcid:country/CAN,2017,642.0
dcs:who/HRH_44,dcid:country/CHE,2017,120.0
dcs:who/HRH_44,dcid:country/CHL,2017,650.0
dcs:who/HRH_44,dcid:country/CHN,2017,661030.0
dcs:who/HRH_44,dcid:country/CIV,2017,50.0
dcs:who/HRH_44,dcid:country/CMR,2017,19.0
dcs:who/HRH_44,dcid:country/COD,2017,100.0
dcs:who/HRH_44,dcid:country/COG,2017,1.0
dcs:who/HRH_44,dcid:country/COL,2017,2000.0
dcs:who/HRH_44,dcid:country/CRI,2017,85.0
dcs:who/HRH_44,dcid:country/CUB,2017,200.0
dcs:who/HRH_44,dcid:country/CYP,2017,15.0
dcs:who/HRH_44,dcid:country/CZE,2017,1.0
dcs:who/HRH_44,dcid:country/DEU,2017,2050.0
dcs:who/HRH_44,dcid:country/DJI,2017,1.0
dcs:who/HRH_44,dcid:country/DNK,2017,450.0
dcs:who/HRH_44,dcid:country/DOM,2017,100.0
dcs:who/HRH_44,dcid:country/DZA,2017,1.0
dcs:who/HRH_44,dcid:country/ECU,2017,126.0
dcs:who/HRH_44,dcid:country/EGY,2017,1000.0
dcs:who/HRH_44,dcid:country/ESP,2017,1000.0
dcs:who/HRH_44,dcid:country/EST,2017,60.0
dcs:who/HRH_44,dcid:country/ETH,2017,500.0
dcs:who/HRH_44,dcid:country/FIN,2017,850.0
dcs:who/HRH_44,dcid:country/FJI,2017,1.0
dcs:who/HRH_44,dcid:country/FRA,2017,600.0
dcs:who/HRH_44,dcid:country/FSM,2017,2.0
dcs:who/HRH_44,dcid:country/GBR,2017,3500.0
dcs:who/HRH_44,dcid:country/GEO,2017,250.0
dcs:who/HRH_44,dcid:country/GHA,2017,450.0
dcs:who/HRH_44,dcid:country/GIN,2017,0.0
dcs:who/HRH_44,dcid:country/GMB,2017,3.0
dcs:who/HRH_44,dcid:country/GRC,2017,300.0
dcs:who/HRH_44,dcid:country/GRD,2017,1.0
dcs:who/HRH_44,dcid:country/GTM,2017,1.0
dcs:who/HRH_44,dcid:country/GUY,2017,1.0
dcs:who/HRH_44,dcid:country/HND,2017,1.0
dcs:who/HRH_44,dcid:country/HRV,2017,250.0
dcs:who/HRH_44,dcid:country/HTI,2017,50.0
dcs:who/HRH_44,dcid:country/HUN,2017,400.0
dcs:who/HRH_44,dcid:country/IDN,2017,55.0
dcs:who/HRH_44,dcid:country/IND,2017,30000.0
dcs:who/HRH_44,dcid:country/IRL,2017,330.0
dcs:who/HRH_44,dcid:country/IRN,2017,1.0
dcs:who/HRH_44,dcid:country/ISL,2017,56.0
dcs:who/HRH_44,dcid:country/ISR,2017,2000.0
dcs:who/HRH_44,dcid:country/ITA,2017,8477.0
dcs:who/HRH_44,dcid:country/JAM,2017,1.0
dcs:who/HRH_44,dcid:country/JOR,2017,2370.0
dcs:who/HRH_44,dcid:country/JPN,2017,41000.0
dcs:who/HRH_44,dcid:country/KEN,2017,50.0
dcs:who/HRH_44,dcid:country/KGZ,2017,3.0
dcs:who/HRH_44,dcid:country/KIR,2017,3.0
dcs:who/HRH_44,dcid:country/KOR,2017,5.0
dcs:who/HRH_44,dcid:country/KWT,2017,1.0
dcs:who/HRH_44,dcid:country/LAO,2017,7.0
dcs:who/HRH_44,dcid:country/LBN,2017,750.0
dcs:who/HRH_44,dcid:country/LBR,2017,0.0
dcs:who/HRH_44,dcid:country/LBY,2017,40.0
dcs:who/HRH_44,dcid:country/LKA,2017,3.0
dcs:who/HRH_44,dcid:country/LTU,2017,250.0
dcs:who/HRH_44,dcid:country/LVA,2017,220.0
dcs:who/HRH_44,dcid:country/MDA,2017,90.0
dcs:who/HRH_44,dcid:country/MDV,2017,1.0
dcs:who/HRH_44,dcid:country/MEX,2017,3000.0
dcs:who/HRH_44,dcid:country/MKD,2017,5.0
dcs:who/HRH_44,dcid:country/MMR,2017,1.0
dcs:who/HRH_44,dcid:country/MNE,2017,15.0
dcs:who/HRH_44,dcid:country/MNG,2017,240.0
dcs:who/HRH_44,dcid:country/MOZ,2017,1.0
dcs:who/HRH_44,dcid:country/MWI,2017,5.0
dcs:who/HRH_44,dcid:country/MYS,2017,800.0
dcs:who/HRH_44,dcid:country/NAM,2017,1.0
dcs:who/HRH_44,dcid:country/NGA,2017,280.0
dcs:who/HRH_44,dcid:country/NLD,2017,500.0
dcs:who/HRH_44,dcid:country/NOR,2017,1.0
dcs:who/HRH_44,dcid:country/NPL,2017,1.0
dcs:who/HRH_44,dcid:country/NZL,2017,26.0
dcs:who/HRH_44,dcid:country/PAK,2017,1200.0
dcs:who/HRH_44,dcid:country/PAN,2017,325.0
dcs:who/HRH_44,dcid:country/PER,2017,360.0
dcs:who/HRH_44,dcid:country/PHL,2017,50.0
dcs:who/HRH_44,dcid:country/POL,2017,163.0
dcs:who/HRH_44,dcid:country/PRT,2017,2060.0
dcs:who/HRH_44,dcid:country/PRY,2017,60.0
dcs:who/HRH_44,dcid:country/ROU,2017,1250.0
dcs:who/HRH_44,dcid:country/RUS,2017,2.0
dcs:who/HRH_44,dcid:country/RWA,2017,15.0
dcs:who/HRH_44,dcid:country/SAU,2017,300.0
dcs:who/HRH_44,dcid:country/SDN,2017,365.0
dcs:who/HRH_44,dcid:country/SEN,2017,23.0
dcs:who/HRH_44,dcid:country/SGP,2017,600.0
dcs:who/HRH_44,dcid:country/SLE,2017,1.0
dcs:who/HRH_44,dcid:country/SLV,2017,231.0
dcs:who/HRH_44,dcid:country/SRB,2017,300.0
dcs:who/HRH_44,dcid:country/SUR,2017,5.0
dcs:who/HRH_44,dcid:country/SVK,2017,63.0
dcs:who/HRH_44,dcid:country/SVN,2017,174.0
dcs:who/HRH_44,dcid:country/SWE,2017,1137.0
dcs:who/HRH_44,dcid:country/SWZ,2017,1.0
dcs:who/HRH_44,dcid:country/SYC,2017,2.0
dcs:who/HRH_44,dcid:country/TCD,2017,12.0
dcs:who/HRH_44,dcid:country/THA,2017,5.0
dcs:who/HRH_44,dcid:country/TJK,2017,5.0
dcs:who/HRH_44,dcid:country/TLS,2017,1.0
dcs:who/HRH_44,dcid:country/TTO,2017,40.0
dcs:who/HRH_44,dcid:country/TUN,2017,20.0
dcs:who/HRH_44,dcid:country/TUR,2017,960.0
dcs:who/HRH_44,dcid:country/TZA,2017,20.0
dcs:who/HRH_44,dcid:country/UGA,2017,49.0
dcs:who/HRH_44,dcid:country/UKR,2017,350.0
dcs:who/HRH_44,dcid:country/URY,2017,10.0
dcs:who/HRH_44,dcid:country/USA,2017,22000.0
dcs:who/HRH_44,dcid:country/VEN,2017,60.0
dcs:who/HRH_44,dcid:country/VNM,2017,1000.0
dcs:who/HRH_44,dcid:country/VUT,2017,1.0
dcs:who/HRH_44,dcid:country/YEM,2017,150.0
dcs:who/HRH_44,dcid:country/ZAF,2017,300.0
dcs:who/HRH_44,dcid:country/ZMB,2017,18.0
