SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/HWF_0004,dcid:country/AGO,2018,3550.0
dcs:who/HWF_0004,dcid:country/AGO,2022,3915.0
dcs:who/HWF_0004,dcid:country/AIA,2018,12.0
dcs:who/HWF_0004,dcid:country/ALB,2011,2038.0
dcs:who/HWF_0004,dcid:country/ALB,2010,2020.0
dcs:who/HWF_0004,dcid:country/ALB,2012,2093.0
dcs:who/HWF_0004,dcid:country/ALB,2009,2050.0
dcs:who/HWF_0004,dcid:country/ALB,2013,2087.0
dcs:who/HWF_0004,dcid:country/ALB,2020,3316.0
dcs:who/HWF_0004,dcid:country/ALB,2019,2729.0
dcs:who/HWF_0004,dcid:country/ARM,2008,6481.0
dcs:who/HWF_0004,dcid:country/ARM,2014,6932.0
dcs:who/HWF_0004,dcid:country/ARM,2006,6309.0
dcs:who/HWF_0004,dcid:country/ARM,2005,6304.0
dcs:who/HWF_0004,dcid:country/ARM,2015,7028.0
dcs:who/HWF_0004,dcid:country/ARM,2019,7371.0
dcs:who/HWF_0004,dcid:country/ARM,2013,6885.0
dcs:who/HWF_0004,dcid:country/ARM,2004,6096.0
dcs:who/HWF_0004,dcid:country/ARM,2000,6817.0
dcs:who/HWF_0004,dcid:country/ARM,2009,6442.0
dcs:who/HWF_0004,dcid:country/ARM,2010,6597.0
dcs:who/HWF_0004,dcid:country/ARM,2007,6384.0
dcs:who/HWF_0004,dcid:country/ARM,2003,6151.0
dcs:who/HWF_0004,dcid:country/ARM,2016,6937.0
dcs:who/HWF_0004,dcid:country/ARM,2017,7025.0
dcs:who/HWF_0004,dcid:country/ARM,2012,6801.0
dcs:who/HWF_0004,dcid:country/ARM,2001,6592.0
dcs:who/HWF_0004,dcid:country/ARM,2011,6668.0
dcs:who/HWF_0004,dcid:country/ARM,2018,7009.0
dcs:who/HWF_0004,dcid:country/ARM,2002,6446.0
dcs:who/HWF_0004,dcid:country/AUS,2018,45820.0
dcs:who/HWF_0004,dcid:country/AUS,2008,30675.0
dcs:who/HWF_0004,dcid:country/AUS,2009,33815.0
dcs:who/HWF_0004,dcid:country/AUS,2000,19388.0
dcs:who/HWF_0004,dcid:country/AUS,2001,20573.0
dcs:who/HWF_0004,dcid:country/AUS,1998,18493.0
dcs:who/HWF_0004,dcid:country/AUS,1999,19395.0
dcs:who/HWF_0004,dcid:country/AUS,2020,48577.0
dcs:who/HWF_0004,dcid:country/AUS,2007,29836.0
dcs:who/HWF_0004,dcid:country/AUS,2019,46768.0
dcs:who/HWF_0004,dcid:country/AUS,1997,17717.0
dcs:who/HWF_0004,dcid:country/AUS,2014,39253.0
dcs:who/HWF_0004,dcid:country/AUS,2015,40944.0
dcs:who/HWF_0004,dcid:country/AUS,2012,34895.0
dcs:who/HWF_0004,dcid:country/AUS,2017,44304.0
dcs:who/HWF_0004,dcid:country/AUS,2021,50341.0
dcs:who/HWF_0004,dcid:country/AUS,2013,36765.0
dcs:who/HWF_0004,dcid:country/AUS,2016,43036.0
dcs:who/HWF_0004,dcid:country/AUS,2005,25547.0
