SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/AFG,2014,56.4
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/AGO,2014,47.3
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/ALB,2016,92.7
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/ARM,2014,96.0
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/AZE,2005,72.3
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BDI,2015,83.0
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BEL,2018,100.0
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BEN,2016,71.5
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BFA,2019,92.8
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BGD,2018,87.1
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BIH,2010,91.4
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BLR,2004,99.6
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BLZ,2014,76.0
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BOL,2006,76.5
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BTN,2011,91.2
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/BWA,2012,96.9
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/CAF,2017,27.2
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/CHN,2003,96.3
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/CIV,2020,85.5
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/CMR,2017,69.8
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/COD,2020,53.5
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/COG,2013,50.4
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/COL,2009,83.1
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/COM,2020,79.8
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/CPV,2016,92.4
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/CRI,2016,92.0
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/CUB,2017,90.8
dcs:who/IMMUNIZATION_VACCINATIONCARDSSEEN,dcid:country/DJI,2019,79.1
